Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
Afghanistan,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2019 Notes: National accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20. Data is converted to calendar years for the purpose of WEO publication. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2016. Base year is the solar year 2002/03 Chain-weighted: No Primary domestic currency: Afghan afghani Data last updated: 07/2021",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,453.484,492.903,496.209,554.91,584.658,662.65,688.247,829.924,899.956,958.266,"1,092.12","1,154.18","1,185.31","1,197.01","1,222.92","1,255.29","1,270.22","1,319.90","1,288.87",n/a,2019
Albania,"Gross domestic product, constant prices",National currency,Billions,"Source: IMF Staff Estimates. Official national accounts, including real GDP growth, rates available from 1996 onwards. Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1996 Chain-weighted: Yes, from 1996 Primary domestic currency: Albanian lek Data last updated: 08/2021",252.921,234.711,257.243,281.424,306.47,334.359,297.833,324.13,365.912,391.33,423.784,443.009,467.501,493.283,520.544,551.27,584.254,628.073,649.141,673.204,690.339,700.125,707.14,719.688,735.657,760.042,788.941,821.061,838.908,811.13,854.12,2020
Algeria,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2001 Chain-weighted: Yes, from 2005 Primary domestic currency: Algerian dinar Data last updated: 09/2021","3,393.45","3,447.74","3,375.25","3,344.88","3,473.58","3,605.57","3,645.24","3,831.14","3,953.74","4,103.98","4,227.10","4,463.82","4,785.21","4,990.98","5,285.44","5,374.48","5,555.75","5,686.88","5,779.70","5,988.70","6,162.37","6,371.89","6,550.30","6,799.22","7,050.79","7,276.41","7,378.28","7,466.82","7,526.56","7,157.75","7,401.85",2019
Andorra,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office. Ministry of Finance Latest actual data: 2020 National accounts manual used: The manual used is not specified GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Euro Data last updated: 07/2021,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.992,2.153,2.251,2.447,2.646,2.789,2.923,2.968,2.803,2.655,2.602,2.602,2.473,2.385,2.445,2.48,2.572,2.581,2.622,2.675,2.354,2.484,2020
Angola,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office. Ministry of Planning Latest actual data: 2020. Starting from the year 2002, historical National Accounts data are provided by Angola's National Institute of Statistics (INE). Data for prior years are based on different sources and/or estimated by IMF staff, including using a ratio slicing method in order to avoid breaks in the data. Notes: Starting from the year 2002, the composition of aggregate demand was revised taking into account updated information from the authorities' National Accounts statistics. Data for prior years are based on [old information] and/or estimated by IMF staff, including using a ratio slicing method in order to avoid breaks in the data. National accounts manual used: European System of Accounts (ESA) 1995 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2002 Chain-weighted: No Primary domestic currency: Angolan kwanza Data last updated: 09/2021",283.298,315.601,350.22,387.031,427.141,475.013,509.567,533.472,545.109,561.76,585.388,665.385,685.279,760.338,874.608,975.606,"1,112.29","1,236.49","1,247.10","1,307.70","1,353.11","1,468.69","1,541.46","1,615.80","1,631.04","1,588.96","1,586.58","1,554.12","1,545.80","1,462.56","1,452.98",2020
Antigua and Barbuda,"Gross domestic product, constant prices",National currency,Billions,Source: Central Bank Latest actual data: 2019. Preliminary Notes: Historical values for expenditure based GDP components are not reported by authorities and are estimated by IMF staff using data from balance of payments and fiscal accounts.  GDP expenditure component estimates prior 2014 have been removed due to internal inconsistencies arising from methodological changes to international trade estimates from the balance of payments applicable to data reported after 2014. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices. Nominal and real GDP are measured at market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2021,1.708,1.728,1.819,1.941,1.856,1.979,2.087,2.186,2.267,2.407,2.298,2.322,2.463,2.605,2.773,3.126,3.417,3.416,3.008,2.772,2.718,2.809,2.792,2.898,3.009,3.175,3.274,3.502,3.668,2.934,2.962,2019
Argentina,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2004 Chain-weighted: No Primary domestic currency: Argentine peso Data last updated: 09/2021,350.738,386.861,411.044,435.006,422.63,445.987,482.16,500.725,483.773,479.956,458.795,408.812,445.423,485.115,528.056,570.549,621.943,647.176,608.873,670.524,710.782,703.486,720.407,702.306,721.487,706.478,726.39,707.755,692.977,624.336,671.162,2020
Armenia,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: Armenian dram Data last updated: 09/2021,n/a,"1,005.09",863.837,910.484,983.622,"1,034.47","1,069.51","1,136.58","1,172.61","1,241.24","1,358.76","1,559.95","1,779.16","1,965.49","2,242.88","2,538.90","2,887.97","3,088.62","2,651.58","2,709.92","2,837.27","3,039.69","3,143.41","3,256.78","3,362.75","3,369.31","3,622.61","3,811.88","4,102.78","3,801.09","4,046.67",2020
Aruba,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020. The Central Bureau of Statistics (CBS) has compiled GDP at current prices by the production and expenditure approaches up to 2009 and has recently done so for the period 2013-17. GDP at constant prices by the expenditure approach has been estimated and disseminated by the Central Bank of Aruba up to 2017. In 2021, the CBS is still working on their update and revision of Aruba's National Account Statistics. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: Yes, from 2000 Primary domestic currency: Aruban Florin Data last updated: 09/2021",2.9,3.071,3.295,3.566,3.655,3.701,3.96,4.039,4.095,4.409,4.594,4.55,4.601,4.936,4.917,4.973,5.127,5.221,4.611,4.485,4.636,4.588,4.883,4.882,5.055,5.162,5.445,5.514,5.399,4.194,4.729,2020
Australia,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2020. Data refer to calendar years National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2018. The base period is 2018Q3-2019Q2 Chain-weighted: Yes, from before 1980. Annually-reweighted Primary domestic currency: Australian dollar Data last updated: 09/2021",818.854,839.825,872.58,915.333,941.31,980.48,"1,025.26","1,073.55","1,121.39","1,155.31","1,185.50","1,234.54","1,268.86","1,321.17","1,361.16","1,397.99","1,459.88","1,498.84","1,526.98","1,563.03","1,607.52","1,668.54","1,704.14","1,747.96","1,788.61","1,837.42","1,881.86","1,935.45","1,972.45","1,926.08","1,994.33",2020
Austria,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 09/2021",224.235,228.93,230.136,235.664,241.952,247.754,252.941,262,271.318,280.477,284.031,288.722,291.44,299.411,306.13,316.704,328.509,333.307,320.759,326.651,336.199,338.486,338.573,340.812,344.269,351.118,359.544,368.82,374.053,350.94,364.691,2019
