Food Product,UnitofMeasure,Conversion Multiplier,Base Unit
Bananas - Retail,KG,1,KG
Bananas - Retail,12 KG,0.0833,KG
Bananas - Retail,Pound,0.4536,KG
Bananas - Retail,Unit,7,KG
Bananas - Wholesale,KG,1,KG
Bananas - Wholesale,100 Pounds,0.0045,KG
Beans - Retail,KG,1,KG
Beans - Retail,100 KG,0.01,KG
Beans - Retail,400 G,2.5,KG
Beans (black) - Retail,KG,1,KG
Beans (black) - Retail,Pound,0.4536,KG
Beans (black) - Retail,Libra,0.4536,KG
Beans (black) - Retail,Marmite,0.2589,KG
Beans (black) - Wholesale,MT,0.001,KG
Beans (black) - Wholesale,46 KG,0.0217,KG
Beans (black) - Wholesale,45 KG,0.0222,KG
Beans (black) - Wholesale,100 Pounds,0.0045,KG
Beans (dry) - Wholesale,KG,1,KG
Beans (dry) - Wholesale,90 KG,0.0111,KG
Beans (haricot) - Retail,100 KG,0.01,KG
Beans (haricot) - Retail,KG,1,KG
Beans (niebe) - Wholesale,KG,1,KG
Beans (niebe) - Wholesale,90 KG,0.0111,KG
Beans (niebe) - Wholesale,100 KG,0.01,KG
Beans (red) - Retail,KG,1,KG
Beans (red) - Retail,20 KG,0.05,KG
Beans (red) - Retail,Pound,0.4536,KG
Beans (red) - Retail,Libra,0.4536,KG
Beans (red) - Retail,Marmite,0.2589,KG
Beans (red) - Wholesale,20 KG,0.05,KG
Beans (red) - Wholesale,KG,1,KG
Beans (red) - Wholesale,Libra,0.4536,KG
Beans (red) - Wholesale,46 KG,0.0217,KG
Beans (red) - Wholesale,45 KG,0.0222,KG
Beans (red) - Wholesale,MT,0.001,KG
Beans (silk red) - Wholesale,45 KG,0.0222,KG
Beans (silk red) - Wholesale,46 KG,0.0217,KG
Beans (white) - Retail,KG,1,KG
Beans (white) - Retail,Libra,0.4536,KG
Beans (white) - Wholesale,46 KG,0.0217,KG
Beans (white) - Wholesale,KG,1,KG
Bread - Retail,KG,1,KG
Bread - Retail,Unit,,
Bread - Retail,Pound,0.4536,KG
Bread - Retail,400 G,2.5,KG
Bread - Retail,150 G,6.6667,KG
Bread - Retail,5 pcs,,
Bread (khoboz) - Retail,Unit,,
Bread (khoboz) - Retail,KG,1,KG
Bread (wheat) - Retail,Unit,,
Bread (wheat) - Retail,KG,1,KG
Cabbage - Retail,KG,1,KG
Cabbage - Retail,Head,0.5,KG
Cassava - Retail,KG,1,KG
Cassava - Retail,50 KG,0.02,KG
Cassava - Wholesale,90 KG,0.0111,KG
Cassava - Wholesale,KG,1,KG
Cassava - Wholesale,91 KG,0.011,KG
Cassava (fresh) - Retail,KG,1,KG
Cassava (fresh) - Retail,5 KG,0.2,KG
Cassava (fresh) - Retail,160 KG,0.0063,KG
Cassava (fresh) - Retail,50 KG,0.02,KG
Cassava flour - Retail,900 G,1.1111,KG
Cassava flour - Retail,KG,1,KG
Cheese (dry) - Retail,Unit,,
Cheese (dry) - Retail,KG,1,KG
Cheese (dry) - Retail,Pound,0.4536,KG
Cheese (picon) - Retail,168 G,5.9524,KG
Cheese (picon) - Retail,KG,1,KG
Cheese (picon) - Retail,160 G,6.25,KG
Chickpeas - Retail,KG,1,KG
Chickpeas - Retail,100 KG,0.01,KG
Chickpeas - Retail,400 G,2.5,KG
Cocoyam (macabo) - Retail,KG,1,KG
Cocoyam (macabo) - Retail,20 KG,0.05,KG
Coffee - Retail,KG,1,KG
Coffee - Retail,Pound,0.4536,KG
Coffee - Wholesale,Libra,0.4536,KG
Coffee - Wholesale,KG,1,KG
Coffee (instant) - Retail,KG,1,KG
Coffee (instant) - Retail,Unit,,
Eggplants - Wholesale,KG,1,KG
Eggplants - Wholesale,27 KG,0.037,KG
Eggs - Retail,30 pcs,0.6667,KG
Eggs - Retail,Unit,,
Eggs - Retail,1 piece,20,KG
Eggs - Retail,Pound,0.4536,KG
Eggs - Retail,650 G,1.5385,KG
Eggs - Retail,KG,1,KG
Eggs - Retail,1.8 KG,0.5556,KG
Eggs - Retail,2 KG,0.5,KG
Eggs - Retail,10 pcs,2,KG
Eggs - Wholesale,30 pcs,0.6667,KG
Eggs - Wholesale,360 pcs,0.0556,KG
"Fish (sardine, canned) - Retail",Unit,,
"Fish (sardine, canned) - Retail",125 G,8,KG
Fish (tilapia) - Wholesale,Libra,0.4536,KG
Fish (tilapia) - Wholesale,KG,1,KG
"Fish (tuna, canned) - Retail",170 G,5.8824,KG
"Fish (tuna, canned) - Retail",185 G,5.4054,KG
"Fish (tuna, canned) - Retail",200 G,5,KG
Groundnuts - Retail,KG,1,KG
Groundnuts - Retail,100 KG,0.01,KG
Groundnuts (shelled) - Retail,KG,1,KG
Groundnuts (shelled) - Retail,5 KG,0.2,KG
Groundnuts (shelled) - Wholesale,90 KG,0.0111,KG
Groundnuts (shelled) - Wholesale,100 KG,0.01,KG
Kale - Retail,KG,1,KG
Kale - Retail,Bunch,0.2551,KG
Lentils - Retail,KG,1,KG
Lentils - Retail,100 KG,0.01,KG
Lentils - Wholesale,KG,1,KG
Lentils - Wholesale,100 KG,0.01,KG
Lettuce - Retail,KG,1,KG
Lettuce - Retail,Head,2.649,KG
Maize - Retail,KG,1,KG
Maize - Retail,Libra,0.4536,KG
Maize - Wholesale,KG,1,KG
Maize - Wholesale,90 KG,0.0111,KG
Maize - Wholesale,Libra,0.4536,KG
Maize - Wholesale,46 KG,0.0217,KG
Maize - Wholesale,100 KG,0.01,KG
Maize (white) - Retail,KG,1,KG
Maize (white) - Retail,15 KG,0.0667,KG
Maize (white) - Retail,18 KG,0.0556,KG
Maize (white) - Retail,Libra,0.4536,KG
Maize (white) - Retail,100 KG,0.01,KG
Maize (white) - Wholesale,100 KG,0.01,KG
Maize (white) - Wholesale,KG,1,KG
Maize (white) - Wholesale,MT,0.001,KG
Maize (white) - Wholesale,45 KG,0.0222,KG
Maize (white) - Wholesale,46 KG,0.0217,KG
Maize (white) - Wholesale,100 Pounds,0.0045,KG
Maize (white) - Wholesale,90 KG,0.0111,KG
Maize (yellow) - Retail,15 KG,0.0667,KG
Maize (yellow) - Retail,18 KG,0.0556,KG
Maize (yellow) - Retail,KG,1,KG
Maize (yellow) - Retail,Pound,0.4536,KG
Maize (yellow) - Retail,100 KG,0.01,KG
Maize (yellow) - Wholesale,KG,1,KG
Maize (yellow) - Wholesale,46 KG,0.0217,KG
Maize (yellow) - Wholesale,100 Pounds,0.0045,KG
Maize (yellow) - Wholesale,100 KG,0.01,KG
Maize flour - Retail,900 G,1.1111,KG
Maize flour - Retail,KG,1,KG
Maize meal - Retail,KG,1,KG
Maize meal - Retail,12.5 KG,0.08,KG
Maize meal (imported) - Retail,KG,1,KG
Maize meal (imported) - Retail,Pound,0.4536,KG
Maize meal (imported) - Retail,10 KG,0.1,KG
"Meat (beef, canned) - Retail",Unit,4.0743,KG
"Meat (beef, canned) - Retail",200 G,5,KG
"Meat (beef, chops with bones) - Retail",KG,1,KG
"Meat (beef, chops with bones) - Retail",Pound,0.4536,KG
Meat (chicken) - Retail,KG,1,KG
Meat (chicken) - Retail,Libra,0.4536,KG
Meat (chicken) - Retail,Pound,0.4536,KG
Meat (chicken) - Wholesale,KG,1,KG
Meat (chicken) - Wholesale,10 KG,0.1,KG
"Meat (chicken, whole) - Wholesale",46 KG,0.0217,KG
"Meat (chicken, whole) - Wholesale",Pound,0.4536,KG
Milk - Retail,L,0.969,KG
Milk - Retail,KG,1,KG
Milk (condensed) - Retail,385 G,2.5974,KG
Milk (condensed) - Retail,200 ML,4.8356,KG
Milk (pasteurized) - Wholesale,380 G,2.6316,KG
Milk (pasteurized) - Wholesale,500 ML,1.9342,KG
Milk (powder) - Retail,50 Pounds,0.0091,KG
Milk (powder) - Retail,KG,1,KG
Milk (powder) - Retail,400 G,2.5,KG
Milk (powder) - Retail,Unit,,
Milk (powder) - Retail,Pound,0.4536,KG
Milk (powder) - Retail,0.8 KG,1.25,KG
Milk (powder) - Retail,900 G,1.1111,KG
Milk (UHT) - Retail,500 ML,1.9342,KG
