COMMODITY,TYPE 
Wheat,RAW
Rice,RAW
Wage,OTHER
Livestock,RAW
Fuel,PROCESSED
Exchange,OTHER
Oil,PROCESSED
Sugar,PROCESSED
Pulses,RAW
Salt,RAW
Beans,RAW
Milk,RAW
Potatoes,RAW
Eggs,RAW
Meat,RAW
Lentils,RAW
Pasta,RAW
Tomatoes,RAW
Cheese,PROCESSED
Carrots,RAW
Onions,RAW
Bananas,RAW
Tea,RAW
Fish,RAW
Apples,RAW
Oranges,RAW
Cassava,RAW
Maize,RAW
Peas,RAW
Cabbage,RAW
Cucumbers,RAW
Beetroots,RAW
Buckwheat,RAW
Sorghum,RAW
Millet,RAW
Sweet,RAW
Yam,RAW
Plantains,RAW
Soybeans,RAW
Lemons,RAW
Papaya,RAW
Okra,RAW
Groundnuts,RAW
Peppers,RAW
Coconut,RAW
Leafy,RAW
Shrimps,RAW
Taro,RAW
Snail,RAW
Noodles,PROCESSED
Quinoa,RAW
Avocados,RAW
Eggplants,RAW
Snake,RAW
Water,RAW
Wax,PROCESSED
Prawn,RAW
Sesame,RAW
Squashes,RAW
Charcoal,RAW
Laundry,OTHER
Chicken,RAW
Peanut,RAW
Garlic,RAW
Cocoa,RAW
Coffee,RAW
Chickpeas,RAW
Cauliflower,RAW
Spinach,RAW
Blackberry,RAW
Broccoli,RAW
Mangoes,RAW
Pumpkin,RAW
Guava,RAW
Passion,RAW
Barley,RAW
Transport,OTHER
Cowpeas,RAW
Ghee,PROCESSED
Teff,OTHER
Lin,RAW
Niger,RAW
Rape,PROCESSED
Butter,RAW
Lettuce,RAW
Kale,RAW
Swiss,RAW
Honey,RAW
Corn,RAW
Kocho,RAW
Fonio,RAW
Dates,RAW
Yogurt,PROCESSED
Watermelons,RAW
Cashew,RAW
Gari,RAW
Tortilla,RAW
Chili,RAW
Handwash,PROCESSED
Firewood,RAW
Candles,RAW
Batteries,PROCESSED
Bulgur,RAW
Toothbrush,OTHER
Sanitary,OTHER
Toothpaste,OTHER
Shampoo,OTHER
Disinfecting,OTHER
Radish,RAW
Cooking,PROCESSED
Semolina,PROCESSED
Kefir,PROCESSED
Walnuts,RAW
Cane,RAW
Bitterball,RAW
Diapers,RAW
Dishwashing,RAW
Couscous,RAW
Pigeon,RAW
Poultry,RAW
Beans(mash),RAW
Ginger,RAW
Bitter,RAW
Calamansi,RAW
Choko,RAW
Bottle,RAW
Shrimp,RAW
Pineapples,RAW
Mandarins,RAW
Crab,RAW
Anchovies,RAW
Zucchini,RAW
Potato,RAW
Milling,PROCESSED
Labaneh,PROCESSED
Parsley,RAW
Yeast,PROCESSED
Multipurpose,OTHER
Alcohol,PROCESSED
Bleach,OTHER
Surgical,OTHER
Hand,OTHER
Plastic,OTHER
Internet,OTHER
Electricity,OTHER
Curd,PROCESSED
Sour,PROCESSED
Fat,PROCESSED
