,ctripid,expgroup,group,personid,week,quitjob,change_date,year_week
0,S00953,1,1,953,0.0,,,
1,S00953,1,1,953,1.0,,,
2,S00953,1,1,953,2.0,,,
3,S00953,1,1,953,3.0,,,
4,S00953,1,1,953,4.0,,,
5,S00953,1,1,953,5.0,,,
6,S00953,1,1,953,6.0,,,
7,S00953,1,1,953,7.0,,,
8,S00953,1,1,953,8.0,,,
9,S00953,1,1,953,9.0,,,
10,S00953,1,1,953,10.0,,,
11,S00953,1,1,953,11.0,,,
12,S00953,1,1,953,12.0,,,
13,S00953,1,1,953,13.0,,,
14,S00953,1,1,953,14.0,,,
15,S00953,1,1,953,15.0,,,
16,S00953,1,1,953,16.0,,,
17,S00953,1,1,953,17.0,,,
18,S00953,1,1,953,18.0,,,
19,S00953,1,1,953,19.0,,,
20,S00953,1,1,953,20.0,,,
21,S00953,1,1,953,21.0,,,
22,S00953,1,1,953,22.0,,,
23,S00953,1,1,953,23.0,,,
24,S00953,1,1,953,24.0,,,
25,S00953,1,1,953,25.0,,,
26,S00953,1,1,953,26.0,,,
27,S00953,1,1,953,27.0,,,
28,S00953,1,1,953,28.0,,,
29,S00953,1,1,953,29.0,,,
30,S00953,1,1,953,30.0,,,
31,S00953,1,1,953,31.0,,,
32,S00953,1,1,953,32.0,,,
33,S00953,1,1,953,33.0,,,
34,S00953,1,1,953,34.0,,,
35,S00953,1,1,953,35.0,,,
36,S00953,1,1,953,36.0,,,
37,S00953,1,1,953,37.0,,,
38,S01061,1,2,1061,0.0,,,
39,S01061,1,2,1061,1.0,,,
40,S01061,1,2,1061,2.0,,,
41,S01061,1,2,1061,3.0,,,
42,S01061,1,2,1061,4.0,,,
43,S01061,1,2,1061,5.0,,,
44,S01061,1,2,1061,6.0,,,
45,S01061,1,2,1061,7.0,,,
46,S01061,1,2,1061,8.0,,,
47,S01061,1,2,1061,9.0,,,
48,S01061,1,2,1061,10.0,,,
49,S01061,1,2,1061,11.0,,,
50,S01061,1,2,1061,12.0,,,
51,S01061,1,2,1061,13.0,,,
52,S01061,1,2,1061,14.0,,,
53,S01061,1,2,1061,15.0,,,
54,S01061,1,2,1061,16.0,,,
55,S01061,1,2,1061,17.0,,,
56,S01061,1,2,1061,18.0,,,
57,S01061,1,2,1061,19.0,,,
58,S01061,1,2,1061,20.0,,,
59,S01061,1,2,1061,21.0,,,
60,S01061,1,2,1061,22.0,,,
61,S01061,1,2,1061,23.0,,,
62,S01061,1,2,1061,24.0,,,
63,S01061,1,2,1061,25.0,,,
64,S01061,1,2,1061,26.0,,,
65,S01061,1,2,1061,27.0,,,
66,S01061,1,2,1061,28.0,,,
67,S01061,1,2,1061,29.0,,,
68,S01061,1,2,1061,30.0,,,
69,S01061,1,2,1061,31.0,,,
70,S01061,1,2,1061,32.0,,,
71,S01061,1,2,1061,33.0,,,
72,S01061,1,2,1061,34.0,,,
73,S01061,1,2,1061,35.0,,,
74,S01061,1,2,1061,36.0,,,
75,S01061,1,2,1061,37.0,,,
76,S01224,0,1,1224,0.0,,,
77,S01224,0,1,1224,1.0,,,
78,S01224,0,1,1224,2.0,,,
79,S01224,0,1,1224,3.0,,,
80,S01224,0,1,1224,4.0,,,
81,S01224,0,1,1224,5.0,,,
82,S01224,0,1,1224,6.0,,,
83,S01224,0,1,1224,7.0,,,
84,S01224,0,1,1224,8.0,,,
85,S01224,0,1,1224,9.0,,,
86,S01224,0,1,1224,10.0,,,
87,S01224,0,1,1224,11.0,,,
88,S01224,0,1,1224,12.0,,,
89,S01224,0,1,1224,13.0,,,
90,S01224,0,1,1224,14.0,,,
91,S01224,0,1,1224,15.0,,,
92,S01224,0,1,1224,16.0,,,
93,S01224,0,1,1224,17.0,,,
94,S01224,0,1,1224,18.0,,,
95,S01224,0,1,1224,19.0,,,
96,S01224,0,1,1224,20.0,,,
97,S01224,0,1,1224,21.0,,,
98,S01224,0,1,1224,22.0,,,
99,S01224,0,1,1224,23.0,,,
100,S01224,0,1,1224,24.0,,,
101,S01224,0,1,1224,25.0,,,
102,S01224,0,1,1224,26.0,,,
103,S01224,0,1,1224,27.0,,,
104,S01224,0,1,1224,28.0,,,
105,S01224,0,1,1224,29.0,,,
106,S01224,0,1,1224,30.0,,,
107,S01224,0,1,1224,31.0,,,
108,S01224,0,1,1224,32.0,,,
109,S01224,0,1,1224,33.0,,,
110,S01224,0,1,1224,34.0,,,
111,S01224,0,1,1224,35.0,,,
112,S01224,0,1,1224,36.0,,,
113,S01224,0,1,1224,37.0,,,
114,S01471,1,2,1471,0.0,,,
115,S01471,1,2,1471,1.0,,,
116,S01471,1,2,1471,2.0,,,
117,S01471,1,2,1471,3.0,,,
118,S01471,1,2,1471,4.0,,,
119,S01471,1,2,1471,5.0,,,
120,S01471,1,2,1471,6.0,,,
121,S01471,1,2,1471,7.0,,,
122,S01471,1,2,1471,8.0,,,
123,S01471,1,2,1471,9.0,,,
124,S01471,1,2,1471,10.0,,,
125,S01471,1,2,1471,11.0,,,
126,S01471,1,2,1471,12.0,,,
127,S01471,1,2,1471,13.0,,,
128,S01471,1,2,1471,14.0,,,
129,S01471,1,2,1471,15.0,,,
130,S01471,1,2,1471,16.0,,,
131,S01471,1,2,1471,17.0,,,
132,S01471,1,2,1471,18.0,,,
133,S01471,1,2,1471,19.0,,,
134,S01471,1,2,1471,20.0,,,
135,S01471,1,2,1471,21.0,,,
136,S01471,1,2,1471,22.0,,,
137,S01471,1,2,1471,23.0,,,
138,S01471,1,2,1471,24.0,,,
139,S01471,1,2,1471,25.0,,,
140,S01471,1,2,1471,26.0,,,
141,S01471,1,2,1471,27.0,,,
142,S01471,1,2,1471,28.0,,,
143,S01471,1,2,1471,29.0,,,
144,S01471,1,2,1471,30.0,,,
145,S01471,1,2,1471,31.0,,,
146,S01471,1,2,1471,32.0,,,
147,S01471,1,2,1471,33.0,,,
148,S01471,1,2,1471,34.0,,,
149,S01471,1,2,1471,35.0,,,
150,S01471,1,2,1471,36.0,,,
151,S01471,1,2,1471,37.0,,,
152,S01509,1,2,1509,0.0,,,
153,S01509,1,2,1509,1.0,,,
154,S01509,1,2,1509,2.0,,,
155,S01509,1,2,1509,3.0,,,
156,S01509,1,2,1509,4.0,,,
157,S01509,1,2,1509,5.0,,,
158,S01509,1,2,1509,6.0,,,
159,S01509,1,2,1509,7.0,,,
160,S01509,1,2,1509,8.0,,,
161,S01509,1,2,1509,9.0,,,
162,S01509,1,2,1509,10.0,,,
163,S01509,1,2,1509,11.0,,,
164,S01509,1,2,1509,12.0,,,
165,S01509,1,2,1509,13.0,,,
166,S01509,1,2,1509,14.0,,,
167,S01509,1,2,1509,15.0,,,
168,S01509,1,2,1509,16.0,,,
169,S01509,1,2,1509,17.0,,,
170,S01509,1,2,1509,18.0,,,
171,S01509,1,2,1509,19.0,,,
172,S01509,1,2,1509,20.0,,,
173,S01509,1,2,1509,21.0,,,
174,S01509,1,2,1509,22.0,,,
175,S01509,1,2,1509,23.0,,,
176,S01509,1,2,1509,24.0,,,
177,S01509,1,2,1509,25.0,,,
178,S01509,1,2,1509,26.0,,,
179,S01509,1,2,1509,27.0,,,
180,S01509,1,2,1509,28.0,,,
181,S01509,1,2,1509,29.0,,,
182,S01509,1,2,1509,30.0,,,
183,S01509,1,2,1509,31.0,,,
184,S01509,1,2,1509,32.0,,,
185,S01509,1,2,1509,33.0,,,
186,S01509,1,2,1509,34.0,,,
187,S01509,1,2,1509,35.0,,,
188,S01509,1,2,1509,36.0,,,
189,S01509,1,2,1509,37.0,,,
190,S01807,1,2,1807,0.0,,,
191,S01807,1,2,1807,1.0,,,
192,S01807,1,2,1807,2.0,,,
193,S01807,1,2,1807,3.0,,,
194,S01807,1,2,1807,4.0,,,
195,S01807,1,2,1807,5.0,,,
196,S01807,1,2,1807,6.0,,,
197,S01807,1,2,1807,7.0,,,
198,S01807,1,2,1807,8.0,,,
199,S01807,1,2,1807,9.0,,,
200,S01807,1,2,1807,10.0,,,
201,S01807,1,2,1807,11.0,,,
202,S01807,1,2,1807,12.0,,,
203,S01807,1,2,1807,13.0,,,
204,S01807,1,2,1807,14.0,,,
205,S01807,1,2,1807,15.0,,,
206,S01807,1,2,1807,16.0,,,
207,S01807,1,2,1807,17.0,,,
208,S01807,1,2,1807,18.0,,,
209,S01807,1,2,1807,19.0,,,
210,S01807,1,2,1807,20.0,,,
211,S01807,1,2,1807,21.0,,,
212,S01807,1,2,1807,22.0,,,
213,S01807,1,2,1807,23.0,,,
214,S01807,1,2,1807,24.0,,,
215,S01807,1,2,1807,25.0,,,
216,S01807,1,2,1807,26.0,,,
217,S01807,1,2,1807,27.0,,,
218,S01807,1,2,1807,28.0,,,
219,S01807,1,2,1807,29.0,,,
220,S01807,1,2,1807,30.0,,,
221,S01807,1,2,1807,31.0,,,
222,S01807,1,2,1807,32.0,,,
223,S01807,1,2,1807,33.0,,,
224,S01807,1,2,1807,34.0,,,
225,S01807,1,2,1807,35.0,,,
226,S01807,1,2,1807,36.0,,,
227,S01807,1,2,1807,37.0,,,
228,S02139,0,1,2139,0.0,,,
229,S02139,0,1,2139,1.0,,,
230,S02139,0,1,2139,2.0,,,
231,S02139,0,1,2139,3.0,,,
232,S02139,0,1,2139,4.0,,,
233,S02139,0,1,2139,5.0,,,
234,S02139,0,1,2139,6.0,,,
235,S02139,0,1,2139,7.0,,,
236,S02139,0,1,2139,8.0,,,
237,S02139,0,1,2139,9.0,,,
238,S02139,0,1,2139,10.0,,,
239,S02139,0,1,2139,11.0,,,
240,S02139,0,1,2139,12.0,,,
241,S02139,0,1,2139,13.0,,,
242,S02139,0,1,2139,14.0,,,
243,S02139,0,1,2139,15.0,,,
244,S02139,0,1,2139,16.0,,,
245,S02139,0,1,2139,17.0,,,
246,S02139,0,1,2139,18.0,,,
247,S02139,0,1,2139,19.0,,,
248,S02139,0,1,2139,20.0,,,
249,S02139,0,1,2139,21.0,,,
250,S02139,0,1,2139,22.0,,,
251,S02139,0,1,2139,23.0,,,
252,S02139,0,1,2139,24.0,,,
253,S02139,0,1,2139,25.0,,,
254,S02139,0,1,2139,26.0,,,
255,S02139,0,1,2139,27.0,,,
256,S02139,0,1,2139,28.0,,,
257,S02139,0,1,2139,29.0,,,
258,S02139,0,1,2139,30.0,,,
259,S02139,0,1,2139,31.0,,,
260,S02139,0,1,2139,32.0,,,
261,S02139,0,1,2139,33.0,,,
262,S02139,0,1,2139,34.0,,,
263,S02139,0,1,2139,35.0,,,
264,S02139,0,1,2139,36.0,,,
265,S02139,0,1,2139,37.0,,,
266,S02181,0,2,2181,0.0,,,
267,S02181,0,2,2181,1.0,,,
268,S02181,0,2,2181,2.0,,,
269,S02181,0,2,2181,3.0,,,
270,S02181,0,2,2181,4.0,,,
271,S02181,0,2,2181,5.0,,,
272,S02181,0,2,2181,6.0,,,
273,S02181,0,2,2181,7.0,,,
274,S02181,0,2,2181,8.0,,,
275,S02181,0,2,2181,9.0,,,
276,S02181,0,2,2181,10.0,,,
277,S02181,0,2,2181,11.0,,,
278,S02181,0,2,2181,12.0,,,
279,S02181,0,2,2181,13.0,,,
280,S02181,0,2,2181,14.0,,,
281,S02181,0,2,2181,15.0,,,
282,S02181,0,2,2181,16.0,,,
283,S02181,0,2,2181,17.0,,,
284,S02181,0,2,2181,18.0,,,
285,S02181,0,2,2181,19.0,,,
286,S02181,0,2,2181,20.0,,,
287,S02181,0,2,2181,21.0,,,
288,S02181,0,2,2181,22.0,,,
289,S02181,0,2,2181,23.0,,,
290,S02181,0,2,2181,24.0,,,
291,S02181,0,2,2181,25.0,,,
292,S02181,0,2,2181,26.0,,,
293,S02181,0,2,2181,27.0,,,
294,S02181,0,2,2181,28.0,,,
295,S02181,0,2,2181,29.0,,,
296,S02181,0,2,2181,30.0,,,
297,S02181,0,2,2181,31.0,,,
298,S02181,0,2,2181,32.0,,,
299,S02181,0,2,2181,33.0,,,
300,S02181,0,2,2181,34.0,,,
301,S02181,0,2,2181,35.0,,,
302,S02181,0,2,2181,36.0,,,
303,S02181,0,2,2181,37.0,,,
304,S02182,0,2,2182,0.0,,,
305,S02182,0,2,2182,1.0,,,
306,S02182,0,2,2182,2.0,,,
307,S02182,0,2,2182,3.0,,,
308,S02182,0,2,2182,4.0,,,
309,S02182,0,2,2182,5.0,,,
310,S02182,0,2,2182,6.0,,,
311,S02182,0,2,2182,7.0,,,
312,S02182,0,2,2182,8.0,,,
313,S02182,0,2,2182,9.0,,,
314,S02182,0,2,2182,10.0,,,
315,S02182,0,2,2182,11.0,,,
316,S02182,0,2,2182,12.0,,,
317,S02182,0,2,2182,13.0,,,
318,S02182,0,2,2182,14.0,,,
