,personid,year_week,experiment,expgroup,zconversion,experiment_treatment
0,4122,201001.0,0.0,1.0,0.18339965,0.0
1,4122,201002.0,0.0,1.0,0.51408273,0.0
2,4122,201003.0,0.0,1.0,-0.19145249,0.0
3,4122,201004.0,0.0,1.0,0.25846642,0.0
4,4122,201005.0,0.0,1.0,0.50887495,0.0
5,4122,201006.0,0.0,1.0,-0.40247497,0.0
6,4122,201007.0,0.0,1.0,-0.79465,0.0
7,4122,201008.0,0.0,1.0,-0.15969345,0.0
8,4122,201009.0,0.0,1.0,0.09230034,0.0
9,4122,201010.0,0.0,1.0,0.6537549,0.0
10,4122,201011.0,0.0,1.0,0.69593585,0.0
11,4122,201012.0,0.0,1.0,0.18478578,0.0
12,4122,201013.0,0.0,1.0,0.36317965,0.0
13,4122,201014.0,0.0,1.0,0.5374072,0.0
14,4122,201015.0,0.0,1.0,1.0241232,0.0
15,4122,201016.0,0.0,1.0,0.32777768,0.0
16,4122,201017.0,0.0,1.0,0.14299835,0.0
17,4122,201018.0,0.0,1.0,-0.6698118,0.0
18,4122,201019.0,0.0,1.0,0.41877905,0.0
19,4122,201020.0,0.0,1.0,0.61253715,0.0
20,4122,201021.0,0.0,1.0,0.38919646,0.0
21,4122,201022.0,0.0,1.0,0.66187876,0.0
22,4122,201023.0,0.0,1.0,0.75655395,0.0
23,4122,201024.0,0.0,1.0,0.61312544,0.0
24,4122,201025.0,0.0,1.0,0.68150723,0.0
25,4122,201026.0,0.0,1.0,1.5482099,0.0
26,4122,201027.0,0.0,1.0,-0.2844635,0.0
27,4122,201028.0,0.0,1.0,0.4278518,0.0
28,4122,201029.0,0.0,1.0,0.34490973,0.0
29,4122,201030.0,0.0,1.0,0.82137096,0.0
30,4122,201031.0,0.0,1.0,-0.3012174,0.0
31,4122,201032.0,0.0,1.0,-0.040834278,0.0
32,4122,201033.0,0.0,1.0,0.4717213,0.0
33,4122,201034.0,0.0,1.0,-0.75260246,0.0
34,4122,201035.0,0.0,1.0,0.4369543,0.0
35,4122,201036.0,0.0,1.0,0.47671846,0.0
36,4122,201037.0,0.0,1.0,0.40748003,0.0
37,4122,201038.0,0.0,1.0,-0.18413289,0.0
38,4122,201039.0,0.0,1.0,0.23981802,0.0
39,4122,201040.0,0.0,1.0,-1.3632025,0.0
40,4122,201041.0,0.0,1.0,0.017036613,0.0
41,4122,201042.0,0.0,1.0,1.6559684,0.0
42,4122,201043.0,0.0,1.0,-1.813003,0.0
43,4122,201044.0,0.0,1.0,-0.23503575,0.0
44,4122,201045.0,0.0,1.0,0.15248004,0.0
45,4122,201046.0,0.0,1.0,0.01825882,0.0
46,4122,201047.0,0.0,1.0,-0.07477226,0.0
47,4122,201048.0,0.0,1.0,-0.24702534,0.0
48,4122,201050.0,1.0,1.0,-0.6075593,1.0
49,4122,201051.0,1.0,1.0,0.36743784,1.0
50,4122,201052.0,1.0,1.0,0.16855238,1.0
51,4122,201053.0,1.0,1.0,0.14784269,1.0
52,4122,201101.0,1.0,1.0,-2.821438,1.0
53,4122,201102.0,1.0,1.0,-0.9631712,1.0
54,4122,201103.0,1.0,1.0,0.14179625,1.0
55,4122,201104.0,1.0,1.0,0.062025383,1.0
56,4122,201105.0,1.0,1.0,-0.8634149,1.0
57,4122,201106.0,1.0,1.0,0.10243241,1.0
58,4122,201107.0,1.0,1.0,0.05231016,1.0
59,4122,201108.0,1.0,1.0,-2.2819936,1.0
60,4122,201109.0,1.0,1.0,-1.7723072,1.0
61,4122,201110.0,1.0,1.0,0.7303025,1.0
62,4122,201111.0,1.0,1.0,0.61262465,1.0
63,4122,201112.0,1.0,1.0,0.3170763,1.0
64,4122,201113.0,1.0,1.0,0.3984177,1.0
65,4122,201114.0,1.0,1.0,0.68761003,1.0
66,4122,201115.0,1.0,1.0,-0.45532647,1.0
67,4122,201116.0,1.0,1.0,0.20920657,1.0
68,4122,201117.0,1.0,1.0,-0.16263793,1.0
69,4122,201118.0,1.0,1.0,0.5492827,1.0
70,4122,201119.0,1.0,1.0,0.46765614,1.0
71,4122,201120.0,1.0,1.0,-0.29906034,1.0
72,4122,201121.0,1.0,1.0,-0.2772985,1.0
73,4122,201122.0,1.0,1.0,0.39257357,1.0
74,4122,201123.0,1.0,1.0,0.53874385,1.0
75,4122,201124.0,1.0,1.0,0.29634365,1.0
76,4122,201125.0,1.0,1.0,-0.19221804,1.0
77,4122,201126.0,1.0,1.0,0.033238813,1.0
78,4122,201127.0,1.0,1.0,0.85521674,1.0
79,4122,201128.0,1.0,1.0,0.10907759,1.0
80,4122,201129.0,1.0,1.0,0.2233317,1.0
81,4122,201130.0,1.0,1.0,1.0211709,1.0
82,4122,201131.0,1.0,1.0,-0.32349333,1.0
83,4122,201132.0,1.0,1.0,-0.6367122,1.0
84,4122,201133.0,1.0,1.0,0.04137489,1.0
85,6278,201001.0,0.0,0.0,,0.0
86,6278,201002.0,0.0,0.0,0.051045995,0.0
87,6278,201003.0,0.0,0.0,-0.42680112,0.0
88,6278,201004.0,0.0,0.0,-0.035000473,0.0
89,6278,201005.0,0.0,0.0,-0.02658506,0.0
90,6278,201006.0,0.0,0.0,-0.25906396,0.0
91,6278,201007.0,0.0,0.0,-0.49541038,0.0
92,6278,201008.0,0.0,0.0,-2.2240584,0.0
93,6278,201009.0,0.0,0.0,-0.4606545,0.0
94,6278,201010.0,0.0,0.0,0.34376943,0.0
95,6278,201011.0,0.0,0.0,0.94938004,0.0
96,6278,201012.0,0.0,0.0,-1.0767835,0.0
97,6278,201013.0,0.0,0.0,1.0572948,0.0
98,6278,201014.0,0.0,0.0,,0.0
99,6278,201018.0,0.0,0.0,-0.9177826,0.0
100,6278,201019.0,0.0,0.0,-0.12660845,0.0
101,6278,201020.0,0.0,0.0,-0.36404908,0.0
102,6278,201021.0,0.0,0.0,-0.11714904,0.0
103,6278,201034.0,0.0,0.0,,0.0
104,6278,201035.0,0.0,0.0,-1.7436527,0.0
105,6278,201036.0,0.0,0.0,1.7817467,0.0
106,6278,201037.0,0.0,0.0,0.9216999,0.0
107,6278,201038.0,0.0,0.0,1.6757934,0.0
108,6278,201039.0,0.0,0.0,1.1645874,0.0
109,6278,201040.0,0.0,0.0,0.8480579,0.0
110,6278,201041.0,0.0,0.0,-1.4487861,0.0
111,6278,201042.0,0.0,0.0,0.49374148,0.0
112,6278,201043.0,0.0,0.0,,0.0
113,6278,201044.0,0.0,0.0,,0.0
114,6278,201045.0,0.0,0.0,,0.0
115,6278,201048.0,0.0,0.0,,0.0
116,6278,201050.0,1.0,0.0,,0.0
117,6278,201051.0,1.0,0.0,,0.0
118,6278,201052.0,1.0,0.0,,0.0
119,6278,201053.0,1.0,0.0,,0.0
120,6278,201101.0,1.0,0.0,,0.0
121,6278,201102.0,1.0,0.0,,0.0
122,6278,201103.0,1.0,0.0,,0.0
