,year_week,homeatleastoneday0,date0,pctdays_athome0,homeatleastoneday1,date1,pctdays_athome1,homeatleastoneday2,date2,pctdays_athome2,wk
0,201002.0,0.0,2010-01-04,0.0,0.0,2010-01-04,0.0,0.0,2010-01-04,0.0,2600.0
1,201003.0,0.0,2010-01-11,0.0,0.0,2010-01-11,0.0,0.0,2010-01-11,0.0,2601.0
2,201004.0,0.0,2010-01-18,0.0,0.0,2010-01-18,0.0,0.0,2010-01-18,0.0,2602.0
3,201005.0,0.0,2010-01-25,0.0,0.0,2010-01-25,0.0,0.0,2010-01-25,0.0,2603.0
4,201006.0,0.0,2010-02-01,0.0,0.0,2010-02-01,0.0,0.0,2010-02-01,0.0,2604.0
5,201007.0,0.0,2010-02-08,0.0,0.0,2010-02-08,0.0,0.0,2010-02-08,0.0,2605.0
6,201008.0,0.0,2010-02-15,0.0,0.0,2010-02-15,0.0,0.0,2010-02-15,0.0,2606.0
7,201009.0,0.0,2010-02-22,0.0,0.0,2010-02-22,0.0,0.0,2010-02-22,0.0,2607.0
8,201010.0,0.0,2010-03-01,0.0,0.0,2010-03-01,0.0,0.0,2010-03-01,0.0,2608.0
9,201011.0,0.0,2010-03-08,0.0,0.0,2010-03-08,0.0,0.0,2010-03-08,0.0,2609.0
10,201012.0,0.0,2010-03-15,0.0,0.0,2010-03-15,0.0,0.0,2010-03-15,0.0,2610.0
11,201013.0,0.0,2010-03-22,0.0,0.0,2010-03-22,0.0,0.0,2010-03-22,0.0,2611.0
12,201014.0,0.0,2010-03-29,0.0,0.0,2010-03-29,0.0,0.0,2010-03-29,0.0,2612.0
13,201015.0,0.0,2010-04-05,0.0,0.0,2010-04-05,0.0,0.0,2010-04-05,0.0,2613.0
14,201016.0,0.0,2010-04-12,0.0,0.0,2010-04-12,0.0,0.0,2010-04-12,0.0,2614.0
15,201017.0,0.0,2010-04-19,0.0,0.0,2010-04-19,0.0,0.0,2010-04-19,0.0,2615.0
16,201018.0,0.0,2010-04-26,0.0,0.0,2010-04-26,0.0,0.0,2010-04-26,0.0,2616.0
17,201019.0,0.0,2010-05-03,0.0,0.0,2010-05-03,0.0,0.0,2010-05-03,0.0,2617.0
18,201020.0,0.0,2010-05-10,0.0,0.0,2010-05-10,0.0,0.0,2010-05-10,0.0,2618.0
19,201021.0,0.0,2010-05-17,0.0,0.0,2010-05-17,0.0,0.0,2010-05-17,0.0,2619.0
20,201022.0,0.0,2010-05-24,0.0,0.0,2010-05-24,0.0,0.0,2010-05-24,0.0,2620.0
21,201023.0,0.0,2010-05-31,0.0,0.0,2010-05-31,0.0,0.0,2010-05-31,0.0,2621.0
22,201024.0,0.0,2010-06-07,0.0,0.0,2010-06-07,0.0,0.0,2010-06-07,0.0,2622.0
23,201025.0,0.0,2010-06-14,0.0,0.0,2010-06-14,0.0,0.0,2010-06-14,0.0,2623.0
24,201026.0,0.0,2010-06-21,0.0,0.0,2010-06-21,0.0,0.0,2010-06-21,0.0,2624.0
25,201027.0,0.0,2010-06-28,0.0,0.0,2010-06-28,0.0,0.0,2010-06-28,0.0,2625.0
26,201028.0,0.0,2010-07-05,0.0,0.0,2010-07-05,0.0,0.0,2010-07-05,0.0,2626.0
27,201029.0,0.0,2010-07-12,0.0,0.0,2010-07-12,0.0,0.0,2010-07-12,0.0,2627.0
28,201030.0,0.0,2010-07-19,0.0,0.0,2010-07-19,0.0,0.0,2010-07-19,0.0,2628.0
29,201031.0,0.0,2010-07-26,0.0,0.0,2010-07-26,0.0,0.0,2010-07-26,0.0,2629.0
30,201032.0,0.0,2010-08-02,0.0,0.0,2010-08-02,0.0,0.0,2010-08-02,0.0,2630.0
31,201033.0,0.0,2010-08-09,0.0,0.0,2010-08-09,0.0,0.0,2010-08-09,0.0,2631.0
32,201034.0,0.0,2010-08-16,0.0,0.0,2010-08-16,0.0,0.0,2010-08-16,0.0,2632.0
33,201035.0,0.0,2010-08-23,0.0,0.0,2010-08-23,0.0,0.0,2010-08-23,0.0,2633.0
34,201036.0,0.0,2010-08-30,0.0,0.0,2010-08-30,0.0,0.0,2010-08-30,0.0,2634.0
35,201037.0,0.0,2010-09-06,0.0,0.0,2010-09-06,0.0,0.0,2010-09-06,0.0,2635.0
36,201038.0,0.0,2010-09-13,0.0,0.0,2010-09-13,0.0,0.0,2010-09-13,0.0,2636.0
37,201039.0,0.0,2010-09-20,0.0,0.0,2010-09-20,0.0,0.0,2010-09-20,0.0,2637.0
38,201040.0,0.0,2010-09-27,0.0,0.0,2010-09-27,0.0,0.0,2010-09-27,0.0,2638.0
39,201041.0,0.0,2010-10-04,0.0,0.0,2010-10-04,0.0,0.0,2010-10-04,0.0,2639.0
40,201042.0,0.0,2010-10-11,0.0,0.0,2010-10-11,0.0,0.0,2010-10-11,0.0,2640.0
41,201043.0,0.0,2010-10-18,0.0,0.0,2010-10-18,0.0,0.0,2010-10-18,0.0,2641.0
42,201044.0,0.0,2010-10-25,0.0,0.0,2010-10-25,0.0,0.0,2010-10-25,0.0,2642.0
43,201045.0,0.0,2010-11-01,0.0,0.0,2010-11-01,0.0,0.0,2010-11-01,0.0,2643.0
44,201046.0,0.0,2010-11-08,0.0,0.0,2010-11-08,0.0,0.0,2010-11-08,0.0,2644.0
45,201047.0,0.0,2010-11-15,0.0,0.015625,2010-11-15,0.0030721966,0.0,2010-11-15,0.0,2645.0
46,201048.0,0.0,2010-11-22,0.0,0.256,2010-11-22,0.10920437,0.0,2010-11-22,0.0,2646.0
47,201049.0,0.0,2010-11-29,0.0,0.796875,2010-11-29,0.5186289,0.0,2010-11-29,0.0,2647.0
48,201050.0,0.0,2010-12-06,0.0,0.8211382,2010-12-06,0.73040754,0.0,2010-12-06,0.0,2648.0
49,201051.0,0.0,2010-12-13,0.0,0.8923077,2010-12-13,0.730659,0.0,2010-12-13,0.0,2649.0
50,201052.0,0.0,2010-12-20,0.0,0.85714287,2010-12-20,0.6613139,0.0,2010-12-20,0.0,2650.0
51,201053.0,0.0,2010-12-27,0.0,0.86821705,2010-12-27,0.7052933,0.0,2010-12-27,0.0,2651.0
52,201101.0,0.0,2011-01-03,0.0,0.88095236,2011-01-03,0.6457055,0.0,2011-01-03,0.0,2652.0
53,201102.0,0.0,2011-01-10,0.0,0.8548387,2011-01-10,0.7056213,0.0,2011-01-10,0.0,2653.0
54,201103.0,0.0,2011-01-17,0.0,0.8548387,2011-01-17,0.66466165,0.0,2011-01-17,0.0,2654.0
55,201104.0,0.0,2011-01-24,0.0,0.8780488,2011-01-24,0.6402266,0.0,2011-01-24,0.0,2655.0
56,201105.0,0.0,2011-01-31,0.0,0.8606557,2011-01-31,0.653481,0.0,2011-01-31,0.0,2656.0
57,201106.0,0.0,2011-02-07,0.0,0.872,2011-02-07,0.65451664,0.0,2011-02-07,0.0,2657.0
58,201107.0,0.0,2011-02-14,0.0,0.8780488,2011-02-14,0.71451354,0.0,2011-02-14,0.0,2658.0
59,201108.0,0.0,2011-02-21,0.0,0.8739496,2011-02-21,0.6408094,0.0,2011-02-21,0.0,2659.0
60,201109.0,0.0,2011-02-28,0.0,0.9059829,2011-02-28,0.70637584,0.0,2011-02-28,0.0,2660.0
61,201110.0,0.0,2011-03-07,0.0,0.90434784,2011-03-07,0.714527,0.0,2011-03-07,0.0,2661.0
