,year_week,negative,personid,expgroup,lnnegative,experiment_expgroup,announcement_expgroup
0,201049.0,12.0,3906,1,2.4849067,0.0,1.0
1,201050.0,20.0,3906,1,2.9957323,1.0,0.0
2,201051.0,25.0,3906,1,3.218876,1.0,0.0
3,201052.0,17.035715,3906,1,2.8353121,1.0,0.0
4,201053.0,14.0,3906,1,2.6390574,1.0,0.0
5,201102.0,14.0,3906,1,2.6390574,1.0,0.0
6,201103.0,22.0,3906,1,3.0910425,1.0,0.0
7,201104.0,18.0,3906,1,2.8903718,1.0,0.0
8,201105.0,8.0,3906,1,2.0794415,1.0,0.0
9,201106.0,12.0,3906,1,2.4849067,1.0,0.0
10,201107.0,15.0,3906,1,2.7080503,1.0,0.0
11,201108.0,21.0,3906,1,3.0445225,1.0,0.0
12,201109.0,16.0,3906,1,2.7725887,1.0,0.0
13,201110.0,19.0,3906,1,2.944439,1.0,0.0
14,201111.0,18.0,3906,1,2.8903718,1.0,0.0
15,201112.0,16.0,3906,1,2.7725887,1.0,0.0
16,201113.0,14.0,3906,1,2.6390574,1.0,0.0
17,201114.0,9.0,3906,1,2.1972246,1.0,0.0
18,201115.0,14.0,3906,1,2.6390574,1.0,0.0
19,201116.0,17.0,3906,1,2.8332133,1.0,0.0
20,201117.0,12.0,3906,1,2.4849067,1.0,0.0
21,201118.0,12.0,3906,1,2.4849067,1.0,0.0
22,201119.0,12.0,3906,1,2.4849067,1.0,0.0
23,201120.0,10.0,3906,1,2.3025851,1.0,0.0
24,201121.0,14.0,3906,1,2.6390574,1.0,0.0
25,201122.0,12.0,3906,1,2.4849067,1.0,0.0
26,201123.0,12.0,3906,1,2.4849067,1.0,0.0
27,201124.0,17.0,3906,1,2.8332133,1.0,0.0
28,201125.0,15.0,3906,1,2.7080503,1.0,0.0
29,201126.0,12.0,3906,1,2.4849067,1.0,0.0
30,201127.0,15.0,3906,1,2.7080503,1.0,0.0
31,201128.0,12.0,3906,1,2.4849067,1.0,0.0
32,201129.0,15.0,3906,1,2.7080503,1.0,0.0
33,201130.0,16.0,3906,1,2.7725887,1.0,0.0
34,201131.0,19.0,3906,1,2.944439,1.0,0.0
35,201132.0,19.0,3906,1,2.944439,1.0,0.0
36,201133.0,16.0,3906,1,2.7725887,1.0,0.0
37,201134.0,15.0,3906,1,2.7080503,1.0,0.0
38,201135.0,16.0,3906,1,2.7725887,1.0,0.0
39,201049.0,20.0,4122,1,2.9957323,0.0,1.0
40,201050.0,21.0,4122,1,3.0445225,1.0,0.0
41,201051.0,20.0,4122,1,2.9957323,1.0,0.0
42,201052.0,17.0,4122,1,2.8332133,1.0,0.0
43,201053.0,19.0,4122,1,2.944439,1.0,0.0
44,201102.0,18.0,4122,1,2.8903718,1.0,0.0
45,201103.0,20.0,4122,1,2.9957323,1.0,0.0
46,201104.0,16.0,4122,1,2.7725887,1.0,0.0
47,201105.0,18.0,4122,1,2.8903718,1.0,0.0
48,201106.0,24.0,4122,1,3.1780539,1.0,0.0
49,201107.0,18.0,4122,1,2.8903718,1.0,0.0
50,201108.0,19.0,4122,1,2.944439,1.0,0.0
51,201109.0,20.0,4122,1,2.9957323,1.0,0.0
52,201110.0,19.0,4122,1,2.944439,1.0,0.0
53,201111.0,18.0,4122,1,2.8903718,1.0,0.0
54,201112.0,18.0,4122,1,2.8903718,1.0,0.0
55,201113.0,17.0,4122,1,2.8332133,1.0,0.0
56,201114.0,21.0,4122,1,3.0445225,1.0,0.0
57,201115.0,28.0,4122,1,3.3322046,1.0,0.0
58,201116.0,21.0,4122,1,3.0445225,1.0,0.0
59,201117.0,22.0,4122,1,3.0910425,1.0,0.0
60,201118.0,21.0,4122,1,3.0445225,1.0,0.0
61,201119.0,22.0,4122,1,3.0910425,1.0,0.0
62,201120.0,24.0,4122,1,3.1780539,1.0,0.0
63,201121.0,24.0,4122,1,3.1780539,1.0,0.0
64,201122.0,26.0,4122,1,3.2580965,1.0,0.0
65,201123.0,24.0,4122,1,3.1780539,1.0,0.0
66,201124.0,24.0,4122,1,3.1780539,1.0,0.0
67,201125.0,25.0,4122,1,3.218876,1.0,0.0
68,201126.0,24.0,4122,1,3.1780539,1.0,0.0
69,201127.0,24.0,4122,1,3.1780539,1.0,0.0
70,201128.0,24.0,4122,1,3.1780539,1.0,0.0
71,201129.0,28.0,4122,1,3.3322046,1.0,0.0
72,201130.0,24.0,4122,1,3.1780539,1.0,0.0
73,201131.0,24.0,4122,1,3.1780539,1.0,0.0
74,201132.0,28.0,4122,1,3.3322046,1.0,0.0
75,201133.0,27.0,4122,1,3.295837,1.0,0.0
76,201134.0,28.0,4122,1,3.3322046,1.0,0.0
77,201135.0,24.0,4122,1,3.1780539,1.0,0.0
78,201049.0,8.0,4942,1,2.0794415,0.0,1.0
79,201050.0,9.0,4942,1,2.1972246,1.0,0.0
80,201051.0,8.0,4942,1,2.0794415,1.0,0.0
81,201052.0,9.0,4942,1,2.1972246,1.0,0.0
82,201053.0,8.0,4942,1,2.0794415,1.0,0.0
83,201102.0,8.0,4942,1,2.0794415,1.0,0.0
84,201103.0,8.0,4942,1,2.0794415,1.0,0.0
85,201104.0,8.0,4942,1,2.0794415,1.0,0.0
86,201105.0,8.0,4942,1,2.0794415,1.0,0.0
87,201106.0,8.0,4942,1,2.0794415,1.0,0.0
88,201107.0,8.0,4942,1,2.0794415,1.0,0.0
89,201108.0,16.22,4942,1,2.786245,1.0,0.0
90,201109.0,8.0,4942,1,2.0794415,1.0,0.0
91,201110.0,8.0,4942,1,2.0794415,1.0,0.0
92,201111.0,8.0,4942,1,2.0794415,1.0,0.0
93,201112.0,12.0,4942,1,2.4849067,1.0,0.0
94,201113.0,8.0,4942,1,2.0794415,1.0,0.0
95,201114.0,8.0,4942,1,2.0794415,1.0,0.0
96,201115.0,8.0,4942,1,2.0794415,1.0,0.0
97,201116.0,8.0,4942,1,2.0794415,1.0,0.0
98,201117.0,8.0,4942,1,2.0794415,1.0,0.0
99,201118.0,9.0,4942,1,2.1972246,1.0,0.0
100,201119.0,10.0,4942,1,2.3025851,1.0,0.0
101,201120.0,14.67,4942,1,2.6858046,1.0,0.0
102,201121.0,11.0,4942,1,2.3978953,1.0,0.0
103,201122.0,8.0,4942,1,2.0794415,1.0,0.0
104,201123.0,9.0,4942,1,2.1972246,1.0,0.0
105,201124.0,8.0,4942,1,2.0794415,1.0,0.0
106,201125.0,12.0,4942,1,2.4849067,1.0,0.0
107,201126.0,8.0,4942,1,2.0794415,1.0,0.0
108,201127.0,8.0,4942,1,2.0794415,1.0,0.0
109,201128.0,9.0,4942,1,2.1972246,1.0,0.0
110,201129.0,10.0,4942,1,2.3025851,1.0,0.0
111,201130.0,9.0,4942,1,2.1972246,1.0,0.0
112,201131.0,8.0,4942,1,2.0794415,1.0,0.0
113,201132.0,9.0,4942,1,2.1972246,1.0,0.0
114,201133.0,10.0,4942,1,2.3025851,1.0,0.0
115,201134.0,8.0,4942,1,2.0794415,1.0,0.0
116,201135.0,9.0,4942,1,2.1972246,1.0,0.0
117,201049.0,12.0,5018,1,2.4849067,0.0,1.0
118,201050.0,17.0,5018,1,2.8332133,1.0,0.0
119,201051.0,16.0,5018,1,2.7725887,1.0,0.0
120,201052.0,18.0,5018,1,2.8903718,1.0,0.0
121,201053.0,16.0,5018,1,2.7725887,1.0,0.0
122,201102.0,17.0,5018,1,2.8332133,1.0,0.0
123,201103.0,16.0,5018,1,2.7725887,1.0,0.0
124,201104.0,16.0,5018,1,2.7725887,1.0,0.0
125,201105.0,16.0,5018,1,2.7725887,1.0,0.0
126,201106.0,16.0,5018,1,2.7725887,1.0,0.0
127,201107.0,16.0,5018,1,2.7725887,1.0,0.0
128,201108.0,16.0,5018,1,2.7725887,1.0,0.0
129,201109.0,16.0,5018,1,2.7725887,1.0,0.0
130,201110.0,16.0,5018,1,2.7725887,1.0,0.0
131,201111.0,15.82,5018,1,2.761275,1.0,0.0
132,201112.0,16.0,5018,1,2.7725887,1.0,0.0
133,201113.0,17.0,5018,1,2.8332133,1.0,0.0
134,201114.0,16.0,5018,1,2.7725887,1.0,0.0
135,201115.0,16.0,5018,1,2.7725887,1.0,0.0
136,201116.0,16.0,5018,1,2.7725887,1.0,0.0
137,201117.0,17.0,5018,1,2.8332133,1.0,0.0
138,201118.0,17.0,5018,1,2.8332133,1.0,0.0
139,201119.0,16.0,5018,1,2.7725887,1.0,0.0
140,201120.0,16.0,5018,1,2.7725887,1.0,0.0
141,201121.0,16.0,5018,1,2.7725887,1.0,0.0
142,201122.0,16.0,5018,1,2.7725887,1.0,0.0
143,201123.0,16.0,5018,1,2.7725887,1.0,0.0
144,201124.0,16.0,5018,1,2.7725887,1.0,0.0
145,201125.0,16.0,5018,1,2.7725887,1.0,0.0
146,201126.0,16.0,5018,1,2.7725887,1.0,0.0
147,201127.0,16.0,5018,1,2.7725887,1.0,0.0
148,201128.0,16.0,5018,1,2.7725887,1.0,0.0
149,201129.0,16.0,5018,1,2.7725887,1.0,0.0
150,201130.0,19.0,5018,1,2.944439,1.0,0.0
151,201131.0,16.0,5018,1,2.7725887,1.0,0.0
152,201132.0,16.0,5018,1,2.7725887,1.0,0.0
153,201133.0,16.0,5018,1,2.7725887,1.0,0.0
