,year_week,expgroup,perform1_before_top,perform1,phonecall,phonecall_before,date
0,201001.0,0.0,0,-1.6409607,-1.7975067,-0.31855112,2010-01-01
1,201002.0,0.0,0,-0.3980342,-0.047160134,-0.32555613,2010-01-04
2,201003.0,0.0,0,-0.26440233,0.10102775,-0.32555613,2010-01-11
3,201004.0,0.0,0,-0.30676073,0.09963073,-0.32555613,2010-01-18
4,201005.0,0.0,0,-0.27944914,0.13823119,-0.32555613,2010-01-25
5,201006.0,0.0,0,-0.35367423,0.11379574,-0.35213622,2010-02-01
6,201007.0,0.0,0,-0.6905244,-0.4083745,-0.35213622,2010-02-08
7,201008.0,0.0,0,-0.49483272,0.045167986,-0.32841587,2010-02-15
8,201009.0,0.0,0,-0.5127071,-0.27408043,-0.35213622,2010-02-22
9,201010.0,0.0,0,-0.39259443,-0.2428857,-0.35213622,2010-03-01
10,201011.0,0.0,0,-0.43064013,-0.43296224,-0.35213622,2010-03-08
11,201012.0,0.0,0,-0.34722638,-0.31853625,-0.37012964,2010-03-15
12,201013.0,0.0,0,-0.23427352,-0.19161886,-0.35213622,2010-03-22
13,201014.0,0.0,0,-0.34231496,0.0012196839,-0.3386792,2010-03-29
14,201015.0,0.0,0,-0.45094135,-0.29121923,-0.33355108,2010-04-05
15,201016.0,0.0,0,-0.275764,-0.07037265,-0.34730145,2010-04-12
16,201017.0,0.0,0,-0.32080302,-0.014263304,-0.36294746,2010-04-19
17,201018.0,0.0,0,-0.21885796,0.16432396,-0.33355108,2010-04-26
18,201019.0,0.0,0,-0.605158,-0.33124626,-0.38444525,2010-05-03
19,201020.0,0.0,0,-0.45700857,-0.22062954,-0.3750646,2010-05-10
20,201021.0,0.0,0,-0.5802112,-0.18944918,-0.38468173,2010-05-17
21,201022.0,0.0,0,-0.4761482,-0.15666968,-0.36341754,2010-05-24
22,201023.0,0.0,0,-0.4953467,-0.3761492,-0.4169182,2010-05-31
23,201024.0,0.0,0,-0.24382827,0.056034677,-0.40811527,2010-06-07
24,201025.0,0.0,0,-0.742923,-0.44887382,-0.40811527,2010-06-14
25,201026.0,0.0,0,-0.41535142,-0.2931013,-0.42991662,2010-06-21
26,201027.0,0.0,0,-0.447565,-0.29952297,-0.39348057,2010-06-28
27,201028.0,0.0,0,-0.22559372,-0.08259231,-0.438966,2010-07-05
28,201029.0,0.0,0,-0.2641874,-0.042359058,-0.39611033,2010-07-12
29,201030.0,0.0,0,-0.3005901,-0.16476844,-0.43197557,2010-07-19
30,201031.0,0.0,0,-0.25102544,-0.17721455,-0.438966,2010-07-26
31,201032.0,0.0,0,-0.39148685,-0.5047621,-0.44913352,2010-08-02
32,201033.0,0.0,0,-0.28129286,-0.2389773,-0.42991662,2010-08-09
33,201034.0,0.0,0,-0.3651617,-0.4032176,-0.43752486,2010-08-16
34,201035.0,0.0,0,-0.44616532,-0.43310037,-0.438966,2010-08-23
35,201036.0,0.0,0,-0.42386204,-0.46874833,-0.4469496,2010-08-30
36,201037.0,0.0,0,-0.16779688,-0.15792441,-0.45395887,2010-09-06
37,201038.0,0.0,0,-0.04212209,0.05916831,-0.46932268,2010-09-13
38,201039.0,0.0,0,-0.526893,-0.649851,-0.452723,2010-09-20
39,201040.0,0.0,0,-0.11299104,-0.3690957,-0.449441,2010-09-27
40,201041.0,0.0,0,-0.797271,-0.8190048,-0.44180152,2010-10-04
41,201042.0,0.0,0,-0.2297347,-0.15229277,-0.43766034,2010-10-11
42,201043.0,0.0,0,-0.16568555,-0.046793953,-0.3981291,2010-10-18
43,201044.0,0.0,0,-0.68089247,-0.7595001,-0.43692806,2010-10-25
44,201045.0,0.0,0,-0.7876202,-0.84894174,-0.42434454,2010-11-01
45,201046.0,0.0,0,-0.7257958,-0.8228601,-0.43443775,2010-11-08
46,201047.0,0.0,0,-0.85817933,-0.93697584,-0.45395887,2010-11-15
47,201048.0,0.0,0,-0.66371745,-0.58265144,-0.44599986,2010-11-22
48,201049.0,0.0,0,-0.61810243,-0.6261137,-0.4239355,2010-11-29
49,201050.0,0.0,0,-0.56095684,-0.5126089,-0.4499449,2010-12-06
50,201051.0,0.0,0,-0.57704157,-0.58858883,-0.4628472,2010-12-13
51,201052.0,0.0,0,-0.6019841,-0.5517835,-0.46601012,2010-12-20
52,201053.0,0.0,0,-0.64123875,-0.75433046,-0.44669262,2010-12-27
53,201101.0,0.0,0,-0.6266067,-0.79972154,-0.43593696,2011-01-03
54,201102.0,0.0,0,-0.4483642,-0.3544001,-0.43593696,2011-01-10
55,201103.0,0.0,0,-0.50740916,-0.41761342,-0.41605884,2011-01-17
56,201104.0,0.0,0,-0.7235993,-0.5504304,-0.40632427,2011-01-24
57,201105.0,0.0,0,-0.9488752,-0.8484564,-0.43437403,2011-01-31
58,201106.0,0.0,0,-0.66749686,-0.3322441,-0.44481713,2011-02-07
59,201107.0,0.0,0,-0.90791243,-0.7763146,-0.43763274,2011-02-14
60,201108.0,0.0,0,-0.7148589,-0.62661576,-0.4870744,2011-02-21
61,201109.0,0.0,0,-0.609394,-0.6209629,-0.44282928,2011-02-28
62,201110.0,0.0,0,-0.6563799,-0.7892914,-0.40707916,2011-03-07
63,201111.0,0.0,0,-0.514784,-0.554289,-0.40541676,2011-03-14
64,201112.0,0.0,0,-0.5307203,-0.22237208,-0.421311,2011-03-21
65,201113.0,0.0,0,-0.60483426,-0.254769,-0.40239972,2011-03-28
66,201114.0,0.0,0,-0.8211919,-0.59081364,-0.43547162,2011-04-04
67,201115.0,0.0,0,-0.504794,-0.12888713,-0.4634038,2011-04-11
68,201116.0,0.0,0,-0.45727617,-0.33586267,-0.45196694,2011-04-18
69,201117.0,0.0,0,-0.423527,-0.09551171,-0.44726202,2011-04-25
70,201118.0,0.0,0,-0.700388,-0.23821998,-0.3787422,2011-05-02
71,201119.0,0.0,0,-0.75148076,-0.5817647,-0.41619205,2011-05-09
72,201120.0,0.0,0,-0.676539,-0.46759242,-0.3987556,2011-05-16
73,201121.0,0.0,0,-0.773622,-0.76920253,-0.4405405,2011-05-23
74,201122.0,0.0,0,-0.7405079,-0.6239579,-0.45539334,2011-05-30
75,201123.0,0.0,0,-0.7912744,-0.6683374,-0.4405405,2011-06-06
76,201124.0,0.0,0,-0.5828774,-0.48166975,-0.4405405,2011-06-13
77,201125.0,0.0,0,-0.4812397,-0.68458885,-0.4129065,2011-06-20
78,201126.0,0.0,0,-0.35412982,-0.45307702,-0.45028907,2011-06-27
79,201127.0,0.0,0,-0.2771046,-0.43155175,-0.4679679,2011-07-04
80,201128.0,0.0,0,0.014309291,-0.24548277,-0.4808051,2011-07-11
81,201129.0,0.0,0,-0.14623909,-0.42951527,-0.43547162,2011-07-18
82,201130.0,0.0,0,-0.30125043,-0.46665376,-0.4405405,2011-07-25
83,201131.0,0.0,0,-0.10697078,-0.1425302,-0.38557166,2011-08-01
84,201132.0,0.0,0,-0.05937115,-0.21393497,-0.39579767,2011-08-08
85,201133.0,0.0,0,-0.15002468,-0.35450587,-0.39579767,2011-08-15
86,201134.0,0.0,0,-0.33039132,-0.34079638,-0.39579767,2011-08-22
87,201135.0,0.0,0,-0.56425005,-0.4843214,-0.39579767,2011-08-29
88,201136.0,0.0,0,-0.70131695,-0.6924032,-0.4396234,2011-09-05
89,201137.0,0.0,0,-0.79705167,-0.6705832,-0.42036432,2011-09-12
90,201138.0,0.0,0,-0.49567115,-0.33752796,-0.42036432,2011-09-19
91,201139.0,0.0,0,-0.22540505,0.14277415,-0.4396234,2011-09-26
92,201140.0,0.0,0,-1.0275761,-0.9105346,-0.42036432,2011-10-03
93,201141.0,0.0,0,-0.94009566,-0.9429718,-0.42036432,2011-10-10
94,201142.0,0.0,0,-0.9084041,-0.8890853,-0.43626115,2011-10-17
95,201143.0,0.0,0,-0.8222367,-0.6775983,-0.3760268,2011-10-24
96,201144.0,0.0,0,-0.8225482,-0.79301786,-0.39579767,2011-10-31
97,201145.0,0.0,0,-1.024308,-0.8174367,-0.41192633,2011-11-07
