,year_week,date1,phonecallraw_d_home
0,201003.0,2010-01-11,0.0
1,201004.0,2010-01-18,0.0
2,201005.0,2010-01-25,0.0
3,201006.0,2010-02-01,0.0
4,201007.0,2010-02-08,0.0
5,201008.0,2010-02-15,0.0
6,201009.0,2010-02-22,0.0
7,201010.0,2010-03-01,0.0
8,201011.0,2010-03-08,0.0
9,201012.0,2010-03-15,0.0
10,201013.0,2010-03-22,0.0
11,201014.0,2010-03-29,0.0
12,201015.0,2010-04-05,0.0
13,201016.0,2010-04-12,0.0
14,201017.0,2010-04-19,0.0
15,201018.0,2010-04-26,0.0
16,201019.0,2010-05-03,0.0
17,201020.0,2010-05-10,0.0
18,201021.0,2010-05-17,0.0
19,201022.0,2010-05-24,0.0
20,201023.0,2010-05-31,0.0
21,201024.0,2010-06-07,0.0
22,201025.0,2010-06-14,0.0
23,201026.0,2010-06-21,0.0
24,201027.0,2010-06-28,0.0
25,201028.0,2010-07-05,0.0
26,201029.0,2010-07-12,0.0
27,201030.0,2010-07-19,0.0
28,201031.0,2010-07-26,0.0
29,201032.0,2010-08-02,0.0
30,201033.0,2010-08-09,0.0
31,201034.0,2010-08-16,0.0
32,201035.0,2010-08-23,0.0
33,201036.0,2010-08-30,0.0
34,201037.0,2010-09-06,0.0
35,201038.0,2010-09-13,0.0
36,201039.0,2010-09-20,0.0
37,201040.0,2010-09-27,0.0
38,201041.0,2010-10-04,0.0
39,201042.0,2010-10-11,0.0
40,201043.0,2010-10-18,0.0
41,201044.0,2010-10-25,0.0
42,201045.0,2010-11-01,0.0
43,201046.0,2010-11-08,0.0
44,201047.0,2010-11-15,0.0
45,201048.0,2010-11-22,0.0
46,201049.0,2010-11-29,
47,201050.0,2010-12-06,
48,201051.0,2010-12-13,
49,201052.0,2010-12-20,
50,201053.0,2010-12-27,
51,201101.0,2011-01-03,
52,201102.0,2011-01-10,
53,201103.0,2011-01-17,
54,201104.0,2011-01-24,
55,201105.0,2011-01-31,
56,201106.0,2011-02-07,
57,201107.0,2011-02-14,
58,201108.0,2011-02-21,
59,201109.0,2011-02-28,
60,201110.0,2011-03-07,
61,201111.0,2011-03-14,
62,201112.0,2011-03-21,
63,201113.0,2011-03-28,
64,201114.0,2011-04-04,
65,201115.0,2011-04-11,
66,201116.0,2011-04-18,
67,201117.0,2011-04-25,
68,201118.0,2011-05-02,
69,201119.0,2011-05-09,
70,201120.0,2011-05-16,
71,201121.0,2011-05-23,
72,201122.0,2011-05-30,
73,201123.0,2011-06-06,
74,201124.0,2011-06-13,
75,201125.0,2011-06-20,
76,201126.0,2011-06-27,
77,201127.0,2011-07-04,
78,201128.0,2011-07-11,
79,201129.0,2011-07-18,
80,201130.0,2011-07-25,
81,201131.0,2011-08-01,
82,201132.0,2011-08-08,
83,201133.0,2011-08-15,
84,201049.0,2010-11-29,-69.010956
85,201050.0,2010-12-06,16.15686
86,201051.0,2010-12-13,-2.232483
87,201052.0,2010-12-20,21.642426
88,201053.0,2010-12-27,9.631561
89,201101.0,2011-01-03,29.975037
90,201102.0,2011-01-10,78.49933
91,201103.0,2011-01-17,27.67163
92,201104.0,2011-01-24,17.857147
93,201105.0,2011-01-31,51.906097
94,201106.0,2011-02-07,18.458344
95,201107.0,2011-02-14,34.49292
96,201108.0,2011-02-21,47.590668
97,201109.0,2011-02-28,33.17932
98,201110.0,2011-03-07,64.830536
99,201111.0,2011-03-14,36.860504
