,personid,quitjob,age,costofcommute,children,expgroup,men,married,perform10,perform11,perform10_expgroup,perform11_expgroup
0,3906,0.0,33.0,8.0,yes,1,0.0,1.0,0.08457301,0.3086204,0.08457301,0.3086204
1,4122,0.0,30.0,18.0,no,1,0.0,0.0,0.0004498826,0.70055944,0.0004498826,0.70055944
2,4448,0.0,35.0,10.0,yes,0,0.0,1.0,0.45590964,0.48866156,0.0,0.0
3,4942,0.0,27.0,20.0,no,1,0.0,1.0,0.9185098,-0.27536705,0.9185098,-0.27536705
4,5018,0.0,29.0,15.0,yes,1,0.0,1.0,-0.3774435,-0.6063684,-0.3774435,-0.6063684
5,5614,0.0,32.0,0.0,no,1,1.0,1.0,0.3699803,0.404642,0.3699803,0.404642
6,6278,1.0,32.0,12.0,yes,0,0.0,1.0,-0.04005283,-0.09744056,0.0,0.0
7,6362,0.0,29.0,12.0,yes,0,0.0,1.0,0.655319,-0.6200626,0.0,0.0
8,6364,0.0,26.0,12.0,yes,0,0.0,1.0,1.4090424,-0.17028235,0.0,0.0
9,7068,0.0,28.0,0.0,no,0,0.0,1.0,0.27069876,-0.9988539,0.0,0.0
10,7076,0.0,30.0,0.0,yes,0,0.0,1.0,0.0015328284,0.27479738,0.0,0.0
11,7488,0.0,25.0,18.0,no,1,0.0,0.0,0.45098305,1.2551696,0.45098305,1.2551696
12,7720,0.0,25.0,9.0,no,0,0.0,0.0,-0.68709767,-0.4546684,0.0,0.0
13,8522,0.0,30.0,6.0,yes,0,0.0,1.0,0.23950015,0.06838997,0.0,0.0
14,8834,0.0,22.0,0.0,no,0,0.0,0.0,0.32067874,0.82531834,0.0,0.0
15,8854,0.0,22.0,4.0,no,1,0.0,0.0,0.6507793,0.9372251,0.6507793,0.9372251
16,8980,0.0,25.0,10.0,no,1,0.0,0.0,-0.031765454,-0.8631395,-0.031765454,-0.8631395
17,9710,0.0,33.0,10.0,no,0,0.0,1.0,-0.7188639,-0.08590863,0.0,0.0
18,10098,1.0,28.0,12.0,yes,0,0.0,1.0,0.07634852,-0.8143045,0.0,0.0
19,10226,0.0,22.0,0.0,no,1,0.0,0.0,-0.25819916,-0.20740296,-0.25819916,-0.20740296
20,10356,0.0,27.0,0.0,no,1,1.0,0.0,0.2486563,0.15516685,0.2486563,0.15516685
21,10794,0.0,32.0,5.0,yes,1,0.0,1.0,1.0376455,1.0985447,1.0376455,1.0985447
22,10822,0.0,26.0,4.0,no,1,0.0,1.0,0.60906583,1.2712617,0.60906583,1.2712617
23,11348,0.0,25.0,8.0,yes,0,0.0,1.0,-0.845071,-0.8867802,0.0,0.0
24,11390,0.0,31.0,25.0,no,0,1.0,1.0,0.8765271,0.5659154,0.0,0.0
25,11868,0.0,30.0,10.0,no,1,1.0,0.0,0.15984595,-0.4786343,0.15984595,-0.4786343
26,12306,0.0,24.0,14.0,no,0,1.0,0.0,-0.8903129,-0.9133242,0.0,0.0
27,12426,0.0,30.0,0.0,no,0,0.0,1.0,-0.69657344,-3.0309365,0.0,0.0
28,12896,0.0,26.0,10.0,no,0,0.0,1.0,0.34794605,0.20738654,0.0,0.0
29,12974,0.0,22.0,0.0,no,1,0.0,0.0,0.046489317,0.34228152,0.046489317,0.34228152
30,13530,0.0,29.0,9.090909,no,1,1.0,0.0,-0.211109,-0.0635574,-0.211109,-0.0635574
31,13574,1.0,30.0,10.0,yes,1,1.0,1.0,1.4744812,2.115367,1.4744812,2.115367
32,13710,0.0,30.0,5.0,yes,0,1.0,1.0,0.34256855,0.03576275,0.0,0.0
33,13980,0.0,28.0,6.0,no,0,0.0,0.0,0.7973299,0.71896964,0.0,0.0
34,14048,0.0,28.0,10.0,yes,1,0.0,1.0,0.59494865,0.2950435,0.59494865,0.2950435
35,14220,1.0,28.0,12.0,yes,0,1.0,1.0,0.859708,0.68349785,0.0,0.0
36,14374,0.0,28.0,10.0,no,0,0.0,0.0,-0.050977934,-0.07639328,0.0,0.0
37,14382,0.0,26.0,10.0,yes,0,0.0,1.0,0.66237736,0.995797,0.0,0.0
38,14384,0.0,32.0,8.0,no,0,0.0,0.0,0.032493778,0.23839492,0.0,0.0
39,14522,0.0,29.0,0.0,no,1,1.0,0.0,-0.96803975,-0.779422,-0.96803975,-0.779422
40,14528,0.0,28.0,25.0,yes,1,0.0,1.0,0.24274956,0.75252026,0.24274956,0.75252026
41,14532,0.0,26.0,10.0,no,1,0.0,0.0,0.25117934,0.54841286,0.25117934,0.54841286
42,14556,0.0,26.0,10.0,yes,0,0.0,1.0,1.0712498,1.2178748,0.0,0.0
43,14678,0.0,26.0,4.0,no,1,1.0,1.0,-1.0820868,0.14346878,-1.0820868,0.14346878
44,15294,0.0,25.0,4.0,no,1,0.0,0.0,0.5713105,1.0471158,0.5713105,1.0471158
45,15444,0.0,27.0,11.818182,no,0,0.0,1.0,0.088463545,-0.06383847,0.0,0.0
46,16334,1.0,30.0,25.0,yes,0,1.0,1.0,0.9178396,-0.2837411,0.0,0.0
47,16422,1.0,29.0,10.0,yes,0,0.0,1.0,-0.7116084,-1.3205973,0.0,0.0
48,16424,0.0,22.0,6.0,no,0,0.0,0.0,0.050123475,-0.55050856,0.0,0.0
49,16514,0.0,28.0,4.0,no,1,1.0,0.0,-0.23630759,0.12174732,-0.23630759,0.12174732
50,16594,0.0,29.0,20.0,yes,0,0.0,1.0,0.71361494,0.2002901,0.0,0.0
51,16596,0.0,34.0,5.0,yes,1,1.0,1.0,1.1186299,0.6197545,1.1186299,0.6197545
52,17058,1.0,23.0,8.0,no,0,0.0,0.0,-0.9042781,-0.4501573,0.0,0.0
53,17160,0.0,27.0,10.0,yes,0,1.0,1.0,0.46139476,0.27835277,0.0,0.0
54,17172,0.0,28.0,12.0,no,0,0.0,0.0,0.4011062,-0.6893083,0.0,0.0
55,17722,0.0,24.0,0.0,no,1,1.0,0.0,-1.0573406,-1.2815166,-1.0573406,-1.2815166
56,17752,0.0,25.0,0.0,no,1,1.0,0.0,0.4628152,0.37585676,0.4628152,0.37585676
57,17812,0.0,28.0,12.0,yes,0,1.0,1.0,-0.19020593,-0.4270409,0.0,0.0
58,17906,0.0,27.0,14.0,no,1,0.0,1.0,-0.7814709,0.19852066,-0.7814709,0.19852066
59,18112,0.0,27.0,8.0,no,1,0.0,0.0,-0.06176748,0.3309926,-0.06176748,0.3309926
60,18494,0.0,31.0,15.0,no,0,1.0,0.0,-0.5006782,-0.42123133,0.0,0.0
61,18502,0.0,26.0,9.0,no,0,1.0,1.0,-0.7298473,-0.24316502,0.0,0.0
62,19470,0.0,25.0,0.0,no,0,0.0,0.0,0.011098285,0.5048908,0.0,0.0
63,19482,0.0,23.0,12.0,no,1,1.0,0.0,-0.07180492,-0.96165556,-0.07180492,-0.96165556
64,19684,1.0,22.0,14.0,no,0,0.0,0.0,-0.35024676,-0.6102638,0.0,0.0
65,21604,0.0,24.0,16.0,no,0,0.0,0.0,-0.14736283,0.07015803,0.0,0.0
66,21648,0.0,26.0,3.5,yes,0,1.0,1.0,-0.57803303,-0.8759282,0.0,0.0
67,21654,0.0,29.0,2.0,no,1,0.0,0.0,0.62046653,0.83090574,0.62046653,0.83090574
68,21710,0.0,30.0,4.0,no,1,1.0,1.0,-0.46703142,-0.75817186,-0.46703142,-0.75817186
69,22022,0.0,22.0,4.0,no,0,0.0,0.0,0.61049986,-0.70168906,0.0,0.0
70,22284,0.0,21.0,0.0,yes,1,0.0,1.0,0.62982976,0.4951057,0.62982976,0.4951057
71,23126,0.0,23.0,6.0,no,0,0.0,0.0,1.1817473,0.62603754,0.0,0.0
72,23136,0.0,22.0,3.0,no,1,1.0,0.0,0.12801115,-0.20964299,0.12801115,-0.20964299
73,23228,0.0,23.0,0.0,no,1,0.0,1.0,0.8753935,1.0998179,0.8753935,1.0998179
74,23622,0.0,25.0,10.0,no,1,1.0,0.0,1.3078856,1.5508392,1.3078856,1.5508392
75,23742,0.0,21.0,8.0,no,0,1.0,0.0,-0.630301,-0.760747,0.0,0.0
76,23772,0.0,21.0,0.0,no,1,1.0,0.0,-0.40484375,-0.059034638,-0.40484375,-0.059034638
77,24142,0.0,29.0,12.0,no,1,0.0,0.0,1.1921102,1.3746165,1.1921102,1.3746165
78,24146,0.0,24.0,12.0,no,0,1.0,0.0,-0.6667007,-1.0818157,0.0,0.0
79,24324,1.0,23.0,25.0,no,1,1.0,0.0,-0.2764601,-1.2298135,-0.2764601,-1.2298135
80,24608,0.0,34.0,3.0,yes,1,0.0,1.0,-0.62254584,-0.35968643,-0.62254584,-0.35968643
81,25056,0.0,23.0,2.0,no,0,0.0,0.0,-0.2744104,-0.17747682,0.0,0.0
82,25258,0.0,26.0,4.0,no,0,1.0,0.0,-0.13678674,-0.20638765,0.0,0.0
83,25520,0.0,24.0,6.0,no,1,1.0,0.0,-0.76568514,-0.75927514,-0.76568514,-0.75927514
