,year_week,personid,grade,expgroup,experiment,experiment_treatment
0,201110.0,3906,3.575,1,1.0,1.0
1,201112.0,3906,3.2,1,1.0,1.0
2,201113.0,3906,3.6,1,1.0,1.0
3,201114.0,3906,3.4,1,1.0,1.0
4,201115.0,3906,3.45,1,1.0,1.0
5,201116.0,3906,3.65,1,1.0,1.0
6,201117.0,3906,3.5,1,1.0,1.0
7,201118.0,3906,3.5,1,1.0,1.0
8,201119.0,3906,3.5,1,1.0,1.0
9,201121.0,3906,3.5,1,1.0,1.0
10,201123.0,3906,3.5,1,1.0,1.0
11,201124.0,3906,3.5,1,1.0,1.0
12,201125.0,3906,3.5,1,1.0,1.0
13,201126.0,3906,3.4,1,1.0,1.0
14,201127.0,3906,3.3000002,1,1.0,1.0
15,201128.0,3906,3.5500002,1,1.0,1.0
16,201129.0,3906,3.25,1,1.0,1.0
17,201130.0,3906,3.775,1,1.0,1.0
18,201131.0,3906,3.5500002,1,1.0,1.0
19,201132.0,3906,3.425,1,1.0,1.0
20,201133.0,3906,3.6,1,1.0,1.0
21,201109.0,4448,3.4,0,1.0,0.0
22,201110.0,4448,3.4,0,1.0,0.0
23,201111.0,4448,3.3000002,0,1.0,0.0
24,201112.0,4448,3.4,0,1.0,0.0
25,201113.0,4448,3.35,0,1.0,0.0
26,201114.0,4448,3.4,0,1.0,0.0
27,201115.0,4448,3.325,0,1.0,0.0
28,201116.0,4448,3.3000002,0,1.0,0.0
29,201117.0,4448,3.325,0,1.0,0.0
30,201118.0,4448,3.5,0,1.0,0.0
31,201119.0,4448,3.1,0,1.0,0.0
32,201120.0,4448,3.2,0,1.0,0.0
33,201121.0,4448,3.1,0,1.0,0.0
34,201122.0,4448,3.35,0,1.0,0.0
35,201123.0,4448,3.3000002,0,1.0,0.0
36,201124.0,4448,3.5,0,1.0,0.0
37,201125.0,4448,3.4,0,1.0,0.0
38,201126.0,4448,3.4,0,1.0,0.0
39,201127.0,4448,3.4,0,1.0,0.0
40,201128.0,4448,3.4,0,1.0,0.0
41,201129.0,4448,3.4,0,1.0,0.0
42,201130.0,4448,3.5,0,1.0,0.0
43,201131.0,4448,3.5,0,1.0,0.0
44,201132.0,4448,3.4,0,1.0,0.0
45,201133.0,4448,3.4,0,1.0,0.0
46,201002.0,6278,3.7,0,0.0,0.0
47,201003.0,6278,3.85,0,0.0,0.0
48,201004.0,6278,3.55,0,0.0,0.0
49,201005.0,6278,3.7,0,0.0,0.0
50,201006.0,6278,3.7,0,0.0,0.0
51,201008.0,6278,3.7,0,0.0,0.0
52,201009.0,6278,3.7,0,0.0,0.0
53,201010.0,6278,3.65,0,0.0,0.0
54,201011.0,6278,3.725,0,0.0,0.0
55,201012.0,6278,3.7,0,0.0,0.0
56,201013.0,6278,3.7,0,0.0,0.0
57,201020.0,6278,3.7,0,0.0,0.0
58,201021.0,6278,3.7,0,0.0,0.0
59,201037.0,6278,3.6750002,0,0.0,0.0
60,201038.0,6278,3.7,0,0.0,0.0
61,201039.0,6278,3.8,0,0.0,0.0
62,201040.0,6278,3.6,0,0.0,0.0
63,201042.0,6278,3.7,0,0.0,0.0
64,201113.0,6278,3.7,0,1.0,0.0
65,201114.0,6278,3.7,0,1.0,0.0
66,201115.0,6278,3.65,0,1.0,0.0
67,201116.0,6278,3.7333333,0,1.0,0.0
68,201117.0,6278,3.8,0,1.0,0.0
69,201118.0,6278,3.7,0,1.0,0.0
70,201119.0,6278,3.8,0,1.0,0.0
71,201120.0,6278,3.75,0,1.0,0.0
72,201121.0,6278,3.8,0,1.0,0.0
73,201123.0,6278,3.8,0,1.0,0.0
74,201125.0,6278,3.85,0,1.0,0.0
75,201127.0,6278,3.7,0,1.0,0.0
76,201129.0,6278,3.7,0,1.0,0.0
77,201130.0,6278,3.7,0,1.0,0.0
78,201131.0,6278,3.7,0,1.0,0.0
79,201132.0,6278,3.7,0,1.0,0.0
80,201110.0,7488,3.3000002,1,1.0,1.0
81,201111.0,7488,3.45,1,1.0,1.0
82,201112.0,7488,3.3000002,1,1.0,1.0
83,201113.0,7488,3.2,1,1.0,1.0
84,201114.0,7488,3.4,1,1.0,1.0
85,201115.0,7488,3.4,1,1.0,1.0
86,201116.0,7488,3.65,1,1.0,1.0
87,201117.0,7488,3.5,1,1.0,1.0
88,201118.0,7488,3.3000002,1,1.0,1.0
89,201119.0,7488,3.5,1,1.0,1.0
90,201121.0,7488,3.4,1,1.0,1.0
91,201122.0,7488,3.4,1,1.0,1.0
92,201123.0,7488,3.3000002,1,1.0,1.0
93,201124.0,7488,3.4,1,1.0,1.0
94,201125.0,7488,3.625,1,1.0,1.0
95,201126.0,7488,3.5500002,1,1.0,1.0
96,201127.0,7488,3.4,1,1.0,1.0
97,201128.0,7488,3.4,1,1.0,1.0
98,201129.0,7488,3.25,1,1.0,1.0
99,201130.0,7488,3.65,1,1.0,1.0
100,201131.0,7488,3.5,1,1.0,1.0
101,201132.0,7488,3.4,1,1.0,1.0
102,201133.0,7488,3.4,1,1.0,1.0
103,201001.0,7720,3.7,0,0.0,0.0
104,201002.0,7720,3.7,0,0.0,0.0
105,201004.0,7720,3.7,0,0.0,0.0
106,201006.0,7720,3.7,0,0.0,0.0
107,201007.0,7720,3.7,0,0.0,0.0
108,201009.0,7720,3.6666667,0,0.0,0.0
109,201010.0,7720,3.7,0,0.0,0.0
110,201011.0,7720,3.6666667,0,0.0,0.0
111,201012.0,7720,3.7,0,0.0,0.0
112,201013.0,7720,3.7,0,0.0,0.0
113,201037.0,7720,3.7,0,0.0,0.0
114,201038.0,7720,3.575,0,0.0,0.0
115,201039.0,7720,3.7,0,0.0,0.0
116,201040.0,7720,3.7,0,0.0,0.0
117,201041.0,7720,3.7,0,0.0,0.0
118,201042.0,7720,3.65,0,0.0,0.0
119,201043.0,7720,3.7,0,0.0,0.0
120,201044.0,7720,3.7,0,0.0,0.0
121,201045.0,7720,3.65,0,0.0,0.0
122,201046.0,7720,3.7,0,0.0,0.0
123,201047.0,7720,3.7,0,0.0,0.0
124,201048.0,7720,3.7,0,0.0,0.0
125,201049.0,7720,3.7,0,0.0,0.0
126,201051.0,7720,3.6666667,0,1.0,0.0
127,201052.0,7720,3.7,0,1.0,0.0
128,201053.0,7720,3.55,0,1.0,0.0
129,201101.0,7720,3.7,0,1.0,0.0
130,201114.0,7720,3.6666667,0,1.0,0.0
131,201115.0,7720,3.6,0,1.0,0.0
132,201116.0,7720,3.7,0,1.0,0.0
133,201117.0,7720,3.7,0,1.0,0.0
134,201118.0,7720,3.7,0,1.0,0.0
135,201120.0,7720,3.7,0,1.0,0.0
136,201121.0,7720,3.7,0,1.0,0.0
137,201123.0,7720,3.625,0,1.0,0.0
138,201124.0,7720,3.75,0,1.0,0.0
139,201125.0,7720,3.7,0,1.0,0.0
140,201126.0,7720,3.7,0,1.0,0.0
141,201127.0,7720,3.75,0,1.0,0.0
142,201128.0,7720,3.7,0,1.0,0.0
143,201129.0,7720,3.65,0,1.0,0.0
144,201130.0,7720,3.7,0,1.0,0.0
145,201131.0,7720,3.7,0,1.0,0.0
146,201132.0,7720,3.75,0,1.0,0.0
147,201133.0,7720,3.775,0,1.0,0.0
148,201109.0,8522,3.4,0,1.0,0.0
149,201110.0,8522,3.4,0,1.0,0.0
150,201111.0,8522,3.35,0,1.0,0.0
151,201112.0,8522,3.4,0,1.0,0.0
152,201113.0,8522,3.3333335,0,1.0,0.0
153,201114.0,8522,3.2,0,1.0,0.0
154,201115.0,8522,3.3000002,0,1.0,0.0
155,201116.0,8522,3.4,0,1.0,0.0
156,201117.0,8522,3.4,0,1.0,0.0
157,201118.0,8522,3.3000002,0,1.0,0.0
158,201119.0,8522,3.4,0,1.0,0.0
159,201120.0,8522,3.4,0,1.0,0.0
160,201122.0,8522,3.4,0,1.0,0.0
161,201123.0,8522,3.05,0,1.0,0.0
162,201124.0,8522,3.3000002,0,1.0,0.0
163,201125.0,8522,3.1999998,0,1.0,0.0
164,201126.0,8522,3.15,0,1.0,0.0
165,201127.0,8522,3.325,0,1.0,0.0
166,201128.0,8522,3.4,0,1.0,0.0
167,201129.0,8522,3.3000002,0,1.0,0.0
168,201130.0,8522,3.35,0,1.0,0.0
169,201131.0,8522,3.275,0,1.0,0.0
170,201133.0,8522,3.35,0,1.0,0.0
171,201001.0,10098,3.7,0,0.0,0.0
172,201003.0,10098,3.7,0,0.0,0.0
173,201005.0,10098,3.7,0,0.0,0.0
174,201006.0,10098,3.7,0,0.0,0.0
175,201008.0,10098,3.7,0,0.0,0.0
176,201009.0,10098,3.8,0,0.0,0.0
177,201010.0,10098,3.7,0,0.0,0.0
178,201011.0,10098,3.7,0,0.0,0.0
179,201012.0,10098,3.5500002,0,0.0,0.0
180,201013.0,10098,3.7,0,0.0,0.0
181,201014.0,10098,3.65,0,0.0,0.0
182,201015.0,10098,3.7,0,0.0,0.0
183,201016.0,10098,3.7,0,0.0,0.0
184,201017.0,10098,3.6833334,0,0.0,0.0
