,surveyno,satisfaction,general,life,personid,expgroup_treatment
0,1,7,78,18,3906,0.0
1,2,3,72,17,3906,1.0
2,3,5,65,15,3906,1.0
3,4,2,72,19,3906,1.0
4,5,6,73,20,3906,1.0
5,1,4,72,10,4122,0.0
6,2,4,64,12,4122,1.0
7,3,4,66,11,4122,1.0
8,4,5,63,9,4122,1.0
9,5,3,52,8,4122,1.0
10,1,7,82,24,4942,0.0
11,2,7,90,32,4942,1.0
12,3,6,87,28,4942,1.0
13,4,6,84,21,4942,1.0
14,5,2,76,20,4942,1.0
15,1,6,81,29,5018,0.0
16,2,6,76,29,5018,1.0
17,3,6,79,28,5018,1.0
18,4,6,76,34,5018,1.0
19,5,6,78,34,5018,1.0
20,1,7,100,22,5614,0.0
21,2,3,60,22,5614,1.0
22,3,4,60,18,5614,1.0
23,4,3,60,18,5614,1.0
24,5,4,60,18,5614,1.0
25,1,5,87,36,6278,0.0
26,2,6,87,38,6278,0.0
27,3,4,77,32,6278,0.0
28,4,5,87,30,6278,0.0
29,5,6,61,34,6278,0.0
30,1,5,79,22,6362,0.0
31,2,5,84,30,6362,0.0
32,3,2,75,20,6362,0.0
33,4,3,67,14,6362,0.0
34,5,2,72,24,6362,0.0
35,1,7,83,36,6364,0.0
36,2,2,51,18,6364,0.0
37,3,3,61,26,6364,0.0
38,4,3,62,17,6364,0.0
39,5,3,58,21,6364,0.0
40,1,5,78,28,7068,0.0
41,2,5,73,20,7068,0.0
42,3,6,82,24,7068,0.0
43,4,6,84,25,7068,0.0
44,5,5,77,29,7068,0.0
45,1,5,72,28,7076,0.0
46,2,4,64,18,7076,0.0
47,3,4,65,20,7076,0.0
48,4,4,65,17,7076,0.0
49,5,4,67,18,7076,0.0
50,1,4,74,22,7488,0.0
51,2,5,81,28,7488,1.0
52,3,6,80,27,7488,1.0
53,4,7,94,32,7488,1.0
54,5,7,91,25,7488,1.0
55,1,4,69,25,8522,0.0
56,2,3,53,23,8522,0.0
57,3,3,60,22,8522,0.0
58,4,5,64,20,8522,0.0
59,5,5,64,22,8522,0.0
60,1,6,85,25,8834,0.0
61,2,5,81,26,8834,0.0
62,3,6,79,25,8834,0.0
63,4,5,73,28,8834,0.0
64,5,5,77,29,8834,0.0
65,1,4,82,21,8854,0.0
66,2,5,69,13,8854,1.0
67,3,5,70,15,8854,1.0
68,4,5,74,19,8854,1.0
69,5,6,71,14,8854,1.0
70,1,5,78,21,9710,0.0
71,2,5,65,31,9710,0.0
72,3,5,75,25,9710,0.0
73,4,4,67,10,9710,0.0
74,5,2,62,19,9710,0.0
75,1,3,63,4,10226,0.0
76,2,3,54,22,10226,1.0
77,3,5,59,19,10226,1.0
78,4,4,69,16,10226,1.0
79,5,5,69,23,10226,1.0
80,1,6,81,36,10356,0.0
81,2,6,71,25,10356,1.0
82,3,4,61,9,10356,1.0
83,4,4,50,9,10356,1.0
84,5,4,50,15,10356,1.0
85,1,6,74,29,10794,0.0
86,2,4,69,26,10794,1.0
87,3,4,75,26,10794,1.0
88,4,5,80,32,10794,1.0
89,5,5,77,34,10794,1.0
90,1,3,62,26,11348,0.0
91,2,5,75,29,11348,0.0
92,3,6,84,32,11348,0.0
93,4,5,82,35,11348,0.0
94,5,5,85,26,11348,0.0
95,1,4,76,17,11390,0.0
96,2,5,73,16,11390,0.0
97,3,4,64,13,11390,0.0
98,4,4,65,12,11390,0.0
99,5,5,87,14,11390,0.0
100,1,3,65,21,11868,0.0
101,2,4,60,21,11868,1.0
102,3,5,68,21,11868,1.0
103,4,5,65,20,11868,1.0
104,5,4,69,29,11868,1.0
105,1,4,75,17,12974,0.0
106,2,4,76,15,12974,1.0
107,3,4,70,12,12974,1.0
108,4,4,74,11,12974,1.0
109,5,3,71,11,12974,1.0
110,1,7,92,22,13530,0.0
111,2,5,78,14,13530,1.0
112,3,7,98,32,13530,1.0
113,4,7,96,24,13530,1.0
114,5,7,96,20,13530,1.0
115,1,6,77,29,13710,0.0
116,2,4,68,19,13710,0.0
117,3,5,61,20,13710,0.0
118,4,6,74,20,13710,0.0
119,5,6,60,20,13710,0.0
120,1,4,74,19,14048,0.0
121,2,5,80,32,14048,1.0
122,3,4,62,17,14048,1.0
123,4,5,73,26,14048,1.0
124,5,4,67,12,14048,1.0
125,1,2,61,16,14374,0.0
126,2,2,51,21,14374,0.0
127,3,2,55,16,14374,0.0
128,4,3,60,18,14374,0.0
129,5,1,63,8,14374,0.0
130,1,5,78,19,14382,0.0
131,2,5,64,17,14382,0.0
132,3,5,69,19,14382,0.0
133,4,6,74,16,14382,0.0
134,5,3,66,10,14382,0.0
135,1,6,66,19,14384,0.0
136,2,5,72,24,14384,0.0
137,3,4,75,20,14384,0.0
138,4,5,80,26,14384,0.0
139,5,5,79,22,14384,0.0
140,1,5,68,18,14522,0.0
141,2,5,68,21,14522,1.0
142,3,6,73,24,14522,1.0
143,4,6,71,25,14522,1.0
144,5,5,69,19,14522,1.0
145,1,6,73,29,14528,0.0
146,2,7,96,30,14528,1.0
147,3,6,95,34,14528,1.0
148,4,6,75,32,14528,1.0
149,5,6,70,28,14528,1.0
150,1,5,73,26,14532,0.0
151,2,5,68,23,14532,1.0
152,3,5,75,25,14532,1.0
153,4,5,75,32,14532,1.0
154,5,5,76,26,14532,1.0
155,1,5,77,31,14678,0.0
156,2,6,79,32,14678,1.0
157,3,6,78,33,14678,1.0
158,4,6,80,32,14678,1.0
159,5,6,79,36,14678,1.0
160,1,4,73,20,15294,0.0
161,2,4,69,23,15294,1.0
162,3,2,77,20,15294,1.0
163,4,3,66,20,15294,1.0
164,5,3,61,20,15294,1.0
165,1,5,80,18,15444,0.0
166,2,5,78,20,15444,0.0
167,3,5,72,28,15444,0.0
168,4,5,69,23,15444,0.0
169,5,4,67,14,15444,0.0
170,1,4,71,26,16424,0.0
171,2,4,71,19,16424,0.0
172,3,3,76,16,16424,0.0
173,4,5,77,30,16424,0.0
174,5,3,64,22,16424,0.0
175,1,6,75,24,16514,0.0
176,2,6,75,27,16514,1.0
177,3,6,74,23,16514,1.0
178,4,5,69,22,16514,1.0
179,5,3,69,18,16514,1.0
180,1,4,60,11,16596,0.0
181,2,4,57,13,16596,1.0
182,3,4,61,14,16596,1.0
183,4,4,56,7,16596,1.0
184,5,4,53,15,16596,1.0
185,1,5,70,28,17160,0.0
186,2,6,73,24,17160,0.0
187,3,5,68,23,17160,0.0
188,4,5,58,20,17160,0.0
189,5,4,62,24,17160,0.0
190,1,4,69,16,17172,0.0
191,2,5,77,12,17172,0.0
192,3,4,70,10,17172,0.0
193,4,3,62,6,17172,0.0
194,5,5,78,18,17172,0.0
195,1,6,73,18,17722,0.0
196,2,7,100,22,17722,1.0
197,3,7,100,35,17722,1.0
198,4,5,91,18,17722,1.0
199,5,7,97,36,17722,1.0
200,1,1,55,5,17752,0.0
201,2,1,32,4,17752,1.0
202,3,4,67,20,17752,1.0
203,4,5,74,22,17752,1.0
204,5,4,73,13,17752,1.0
205,1,4,81,20,17812,0.0
206,2,7,100,20,17812,0.0
207,3,1,70,29,17812,0.0
208,4,2,78,22,17812,0.0
209,5,5,90,30,17812,0.0
210,1,4,68,11,18112,0.0
211,2,4,73,11,18112,1.0
212,3,5,60,15,18112,1.0
213,4,3,64,12,18112,1.0
214,5,5,66,14,18112,1.0
215,1,3,72,14,18494,0.0
216,2,4,65,13,18494,0.0
217,3,3,58,20,18494,0.0
218,4,3,60,20,18494,0.0
219,5,4,60,20,18494,0.0
220,1,3,83,34,19482,0.0
