,personid,age,tenure,grosswage,children,bedroom,commute,men,married,volunteer,high_educ
0,3224,30.0,113.0,3.8248823,no,no,40.0,1.0,0.0,0.0,0.0
1,3906,33.0,96.0,2.7375467,yes,yes,180.0,0.0,1.0,1.0,0.0
2,4118,31.0,94.0,3.46038,yes,no,180.0,0.0,1.0,0.0,1.0
3,4122,30.0,94.0,4.096246,no,no,180.0,0.0,0.0,0.0,0.0
4,4164,28.0,25.0,7.2532,no,yes,65.0,0.0,1.0,1.0,1.0
5,4252,29.0,94.0,4.0608325,no,no,140.0,0.0,0.0,0.0,1.0
6,4448,35.0,92.0,4.269296,yes,yes,100.0,0.0,1.0,1.0,0.0
7,4942,27.0,82.0,5.2953954,no,yes,160.0,0.0,1.0,1.0,0.0
8,4944,25.0,82.0,4.477011,no,yes,180.0,0.0,0.0,0.0,1.0
9,4992,25.0,82.0,3.8015378,no,yes,240.0,0.0,0.0,1.0,0.0
10,5018,29.0,82.0,1.3875899,yes,yes,240.0,0.0,1.0,1.0,0.0
11,5560,29.0,79.0,4.420188,yes,yes,50.0,1.0,1.0,0.0,1.0
12,5606,26.0,79.0,3.0919712,no,no,120.0,0.0,0.0,0.0,0.0
13,5614,32.0,79.0,3.8260088,no,yes,80.0,1.0,1.0,0.0,0.0
14,5742,26.0,78.0,6.733743,no,yes,60.0,0.0,1.0,0.0,0.0
15,5784,31.0,78.0,2.9404178,no,yes,160.0,0.0,0.0,0.0,1.0
16,5906,23.0,78.0,4.593881,yes,yes,180.0,0.0,1.0,1.0,0.0
17,5930,23.0,78.0,4.410223,no,no,50.0,0.0,0.0,0.0,0.0
18,6162,31.0,77.0,3.8107321,no,yes,120.0,0.0,0.0,0.0,0.0
19,6278,32.0,77.0,2.918789,yes,yes,170.0,0.0,1.0,1.0,1.0
20,6284,23.0,77.0,3.9908912,no,no,60.0,0.0,0.0,1.0,1.0
21,6300,33.0,76.0,3.3604422,no,yes,80.0,1.0,0.0,0.0,1.0
22,6342,30.0,76.0,3.923372,yes,yes,120.0,0.0,1.0,0.0,0.0
23,6344,27.0,76.0,4.516857,yes,yes,120.0,0.0,1.0,0.0,0.0
24,6362,29.0,82.0,4.894708,yes,yes,200.0,0.0,1.0,1.0,0.0
25,6364,26.0,82.0,6.2207456,yes,yes,180.0,0.0,1.0,1.0,0.0
26,6856,31.0,73.0,2.121591,no,yes,180.0,0.0,0.0,0.0,1.0
27,6898,24.0,73.0,4.639574,no,no,120.0,1.0,0.0,0.0,0.0
28,6904,23.0,73.0,3.744671,no,no,45.0,0.0,0.0,0.0,0.0
29,6924,22.0,73.0,4.9445286,no,yes,110.0,0.0,0.0,0.0,0.0
30,7056,27.0,72.0,5.06307,yes,no,80.0,1.0,1.0,1.0,1.0
31,7068,28.0,72.0,4.341824,no,yes,40.0,0.0,1.0,1.0,1.0
32,7076,30.0,72.0,2.66415,yes,yes,120.0,0.0,1.0,1.0,1.0
33,7132,22.0,72.0,3.6314757,no,yes,50.0,0.0,0.0,0.0,0.0
34,7184,27.0,71.0,4.2302675,no,yes,120.0,0.0,1.0,0.0,0.0
35,7240,23.0,71.0,4.35887,no,no,40.0,0.0,0.0,0.0,1.0
36,7324,27.0,71.0,4.6434965,no,no,90.0,1.0,0.0,0.0,0.0
37,7454,24.0,70.0,2.0513732,no,yes,85.0,0.0,1.0,0.0,1.0
38,7456,25.0,70.0,4.9626255,no,no,120.0,0.0,0.0,0.0,0.0
39,7488,25.0,70.0,3.072209,no,yes,240.0,0.0,0.0,0.0,0.0
40,7538,24.0,70.0,3.3498802,no,no,120.0,0.0,0.0,0.0,1.0
41,7660,25.0,70.0,3.49544,no,yes,240.0,0.0,0.0,1.0,0.0
42,7720,25.0,70.0,3.0483878,no,yes,180.0,0.0,0.0,1.0,1.0
43,7820,28.0,70.0,3.5054533,yes,yes,180.0,1.0,1.0,0.0,1.0
44,7856,22.0,70.0,5.1482167,no,no,40.0,1.0,0.0,0.0,0.0
45,7872,22.0,70.0,3.6174922,no,no,60.0,0.0,0.0,0.0,0.0
46,7896,22.0,70.0,3.822452,no,no,60.0,0.0,0.0,0.0,0.0
47,7978,29.0,69.0,4.3938274,yes,yes,180.0,0.0,1.0,1.0,1.0
48,8440,24.0,67.0,1.5288833,no,yes,80.0,0.0,0.0,0.0,0.0
49,8522,30.0,66.0,4.192242,yes,yes,120.0,0.0,1.0,1.0,0.0
50,8830,22.0,66.0,5.8753214,no,no,30.0,0.0,0.0,0.0,0.0
51,8834,22.0,66.0,3.6427166,no,no,60.0,0.0,0.0,1.0,0.0
52,8854,22.0,66.0,4.259261,no,yes,60.0,0.0,0.0,0.0,0.0
53,8858,23.0,25.0,4.3171253,no,yes,90.0,0.0,0.0,0.0,1.0
54,8980,25.0,65.0,1.9734234,no,yes,120.0,0.0,0.0,1.0,0.0
55,9070,23.0,66.0,4.0421543,no,yes,60.0,0.0,0.0,0.0,1.0
56,9072,23.0,66.0,4.316552,no,no,40.0,0.0,0.0,0.0,0.0
57,9086,22.0,66.0,3.2136621,no,no,100.0,0.0,0.0,1.0,0.0
58,9106,23.0,25.0,3.6806667,no,yes,20.0,0.0,0.0,0.0,1.0
59,9426,23.0,68.0,3.2903333,no,yes,30.0,0.0,0.0,1.0,0.0
60,9432,22.0,65.0,4.927182,no,no,40.0,0.0,0.0,0.0,0.0
61,9460,23.0,65.0,5.8756423,no,yes,40.0,0.0,0.0,0.0,0.0
62,9666,26.0,64.0,2.7383602,no,no,50.0,1.0,1.0,0.0,1.0
63,9710,33.0,64.0,3.9029267,no,yes,120.0,0.0,1.0,1.0,0.0
64,9886,30.0,25.0,3.8439844,no,yes,80.0,0.0,0.0,0.0,1.0
65,10024,26.0,63.0,3.3279943,yes,yes,230.0,0.0,1.0,0.0,1.0
66,10098,28.0,63.0,4.3152037,yes,yes,180.0,0.0,1.0,1.0,1.0
67,10210,23.0,62.0,4.09018,no,no,60.0,0.0,0.0,1.0,0.0
68,10226,22.0,62.0,3.3343222,no,no,60.0,0.0,0.0,1.0,0.0
69,10228,22.0,62.0,5.9146934,no,no,30.0,1.0,0.0,1.0,0.0
70,10236,22.0,62.0,3.9678166,no,no,55.0,0.0,0.0,1.0,0.0
71,10356,27.0,62.0,3.796718,no,yes,60.0,1.0,0.0,0.0,1.0
72,10450,27.0,61.0,4.5207467,no,yes,180.0,0.0,0.0,0.0,1.0
73,10794,32.0,60.0,4.169194,yes,yes,120.0,0.0,1.0,1.0,0.0
74,10822,26.0,60.0,2.99627,no,yes,70.0,0.0,1.0,1.0,0.0
75,10868,30.0,60.0,1.4717622,yes,yes,130.0,0.0,1.0,0.0,0.0
76,11034,25.0,59.0,3.9688244,no,no,40.0,0.0,0.0,0.0,1.0
77,11062,22.0,59.0,3.3237,no,no,40.0,0.0,0.0,1.0,0.0
