,personid,return,costofcommute,livewparents,expgroup,married,perform10,perform11
0,3906,0,8.0,0.0,1,1.0,0.08457301,0.3086204
1,4122,0,18.0,1.0,1,0.0,0.0004498826,0.70055944
2,4942,0,20.0,0.0,1,1.0,0.9185098,-0.27536705
3,5018,0,15.0,0.0,1,1.0,-0.3774435,-0.6063684
4,5614,1,0.0,0.0,1,1.0,0.3699803,0.404642
5,7488,0,18.0,1.0,1,0.0,0.45098305,1.2551696
6,8854,0,4.0,0.0,1,0.0,0.6507793,0.9372251
7,8980,0,10.0,1.0,1,0.0,-0.031765454,-0.8631395
8,10226,1,0.0,0.0,1,0.0,-0.25819916,-0.20740296
9,10356,1,0.0,0.0,1,0.0,0.2486563,0.15516685
10,10794,0,5.0,0.0,1,1.0,1.0376455,1.0985447
11,10822,0,4.0,0.0,1,1.0,0.60906583,1.2712617
12,11868,0,10.0,1.0,1,0.0,0.15984595,-0.4786343
13,12974,0,0.0,0.0,1,0.0,0.046489317,0.34228152
14,13530,0,9.090909,1.0,1,0.0,-0.211109,-0.0635574
15,14048,1,10.0,1.0,1,1.0,0.59494865,0.2950435
16,14522,1,0.0,1.0,1,0.0,-0.96803975,-0.779422
17,14528,0,25.0,1.0,1,1.0,0.24274956,0.75252026
18,14532,0,10.0,1.0,1,0.0,0.25117934,0.54841286
19,14678,0,4.0,1.0,1,1.0,-1.0820868,0.14346878
20,15294,1,4.0,0.0,1,0.0,0.5713105,1.0471158
21,16514,0,4.0,1.0,1,0.0,-0.23630759,0.12174732
22,16596,0,5.0,0.0,1,1.0,1.1186299,0.6197545
23,17722,0,0.0,1.0,1,0.0,-1.0573406,-1.2815166
24,17752,0,0.0,1.0,1,0.0,0.4628152,0.37585676
25,17906,0,14.0,1.0,1,1.0,-0.7814709,0.19852066
26,18112,0,8.0,1.0,1,0.0,-0.06176748,0.3309926
27,19482,1,12.0,1.0,1,0.0,-0.07180492,-0.96165556
28,21654,0,2.0,1.0,1,0.0,0.62046653,0.83090574
29,21710,0,4.0,1.0,1,1.0,-0.46703142,-0.75817186
30,22284,1,0.0,0.0,1,1.0,0.62982976,0.4951057
31,23136,0,3.0,0.0,1,0.0,0.12801115,-0.20964299
32,23228,0,0.0,0.0,1,1.0,0.8753935,1.0998179
33,23622,0,10.0,1.0,1,0.0,1.3078856,1.5508392
34,23772,1,0.0,0.0,1,0.0,-0.40484375,-0.059034638
35,24142,0,12.0,1.0,1,0.0,1.1921102,1.3746165
36,24608,0,3.0,0.0,1,1.0,-0.62254584,-0.35968643
37,25520,0,6.0,1.0,1,0.0,-0.76568514,-0.75927514
38,25532,1,12.0,1.0,1,0.0,-0.44592518,-0.35810113
39,25628,0,10.0,0.0,1,0.0,0.70293033,0.98837906
40,25638,0,10.0,1.0,1,0.0,0.04445661,-0.14800061
41,25700,1,0.0,1.0,1,0.0,-0.7591874,-0.79043657
42,25940,0,10.0,0.0,1,1.0,0.5240536,-0.70730287
43,25962,0,4.0,0.0,1,1.0,-0.2395724,-0.33794653
44,26328,1,0.0,0.0,1,0.0,-1.2317928,-1.0658501
45,26618,0,0.0,0.0,1,0.0,-0.78081286,-1.0995302
46,28226,1,15.0,1.0,1,0.0,-0.9718298,-0.8668408
47,28470,0,30.0,1.0,1,0.0,-0.55329293,0.45698383
48,28492,0,0.0,0.0,1,0.0,-0.92371774,-1.1500096
49,29216,1,30.0,1.0,1,0.0,0.4030235,-0.7402768
50,30006,1,5.0,0.0,1,0.0,-0.22568052,-0.8762213
51,30014,0,5.0,1.0,1,0.0,0.16178729,0.00623167
