,personid,prior_experience,age,tenure,basewage,bonus,grosswage,ageyoungestchild,costofcommute,children,rental,bedroom,expgroup,men,married,second_technical,high_school,tertiary_technical,university,internet,type
0,33278,0.0,20.0,22.0,1450.0,594.2222,2275.409,0,12.0,no,no,yes,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
1,44800,5.0,25.0,2.0,1500.0,587.6,2742.29,0,12.0,no,no,yes,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,phone call group
2,32320,0.0,22.0,23.0,1600.0,2272.0,4578.473,0,4.0,no,yes,yes,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,phone call group
3,42152,48.0,25.0,5.0,1411.1111,624.44446,2279.6545,0,20.0,no,no,yes,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
4,42096,0.0,23.0,5.0,1411.1111,405.8889,1933.8323,0,8.0,no,no,yes,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,phone call group
5,44256,0.0,21.0,2.5,1500.0,335.66666,1863.9133,0,0.0,no,no,yes,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,notification group (airfare)
6,42682,0.0,22.0,4.0,1466.6666,613.7778,2216.5679,0,16.0,no,no,yes,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,phone call group
7,16424,0.0,22.0,47.0,1600.0,1319.2222,3130.1768,0,6.0,no,no,yes,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
8,43524,30.0,24.0,3.0,1457.1428,405.42856,2344.97,0,10.0,no,no,yes,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
9,18494,120.0,31.0,44.0,1600.0,1012.2222,3212.9255,0,15.0,no,no,yes,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,pre-order group (hotel)
10,42140,36.0,25.0,5.0,1466.6666,632.7778,2099.1511,0,15.0,yes,no,yes,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,notification group (airfare)
11,6364,0.0,26.0,82.0,1900.0,3965.889,6220.7456,2,12.0,yes,no,yes,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,post-order group (hotel)
12,23126,0.0,23.0,35.0,1600.0,1737.5555,4254.28,0,6.0,no,no,yes,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,night shift (hotel)
13,39490,0.0,23.0,9.0,1450.0,1089.0,2858.081,0,10.0,no,no,yes,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,pre-order group (hotel)
14,35408,50.0,27.0,20.0,1550.0,1745.1111,3516.3389,1,10.0,yes,yes,yes,0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,pre-order group (hotel)
15,7076,24.0,30.0,72.0,2100.0,465.55554,2664.15,11,0.0,yes,no,yes,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,pre-order group (hotel)
16,29024,36.0,26.0,26.0,1550.0,751.7778,2590.2634,0,10.0,no,no,yes,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,post-order group (hotel)
17,39144,0.0,18.0,10.0,1222.2222,846.6667,2307.771,0,4.0,no,no,yes,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
18,30002,66.0,26.0,25.0,1616.6666,1471.3334,3399.6855,0,12.0,no,no,yes,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,post-order group (hotel)
19,41332,36.0,22.0,6.0,1422.2222,507.66666,2218.4744,0,6.0,no,no,yes,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
20,40456,20.0,23.0,8.0,1433.3334,599.3333,2968.2412,0,12.0,no,yes,yes,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,phone call group
21,39164,0.0,19.0,10.0,1155.5555,645.3333,1957.4366,0,8.0,no,no,yes,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
22,40334,0.0,23.0,8.0,1433.3334,1320.8889,3026.8367,0,20.0,no,no,yes,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,notification group (airfare)
23,38862,0.0,19.0,10.0,1222.2222,623.0,2009.2522,0,0.0,no,yes,yes,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
24,40346,24.0,22.0,8.0,1433.3334,624.44446,2301.3977,0,4.5454545,no,no,yes,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
25,13980,0.0,28.0,51.0,1650.0,2431.0,4468.087,0,6.0,no,no,yes,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
26,25056,0.0,23.0,33.0,1600.0,1049.7778,2868.9067,0,2.0,no,yes,yes,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,notification group (airfare)
27,40008,7.0,20.0,9.0,1450.0,911.0,2668.0056,0,10.0,no,no,yes,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,phone call group
28,38842,0.0,19.0,10.0,1222.2222,651.7778,2019.5177,0,10.0,no,no,yes,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,phone call group
29,42632,0.0,21.0,4.0,1466.6666,493.1111,2136.5278,0,12.0,no,no,yes,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,phone call group
