,basewage,grosswage,personid,wage_month,experiment_treatment,bonustotal,loggrosswage,logbasewage,logbonustotal
0,1850,1832.47,3906,201001.0,0.0,25.0,7.51342,7.522941,3.218876
1,1850,1817.47,3906,201002.0,0.0,10.0,7.505201,7.522941,2.3025851
2,1850,3878.0,3906,201003.0,0.0,2028.0,8.263075,7.522941,7.614805
3,1850,3465.79,3906,201004.0,0.0,1615.79,8.150696,7.522941,7.3875794
4,1850,2918.0,3906,201005.0,0.0,1068.0,7.978654,7.522941,6.973543
5,1850,3644.28,3906,201006.0,0.0,1794.28,8.200914,7.522941,7.492359
6,1950,2827.0,3906,201007.0,0.0,877.0,7.9469714,7.575585,6.776507
7,1950,2120.0,3906,201008.0,0.0,170.0,7.6591716,7.575585,5.1357985
8,1950,2134.91,3906,201009.0,0.0,184.91,7.6661797,7.575585,5.219869
9,1950,1950.0,3906,201010.0,0.0,0.0,7.575585,7.575585,
10,1950,1950.0,3906,201011.0,0.0,0.0,7.575585,7.575585,
11,1950,4544.28,3906,201012.0,1.0,2594.28,8.421624,7.575585,7.8610644
12,2000,4050.0,3906,201101.0,1.0,2050.0,8.306472,7.6009026,7.625595
13,2000,2666.0,3906,201102.0,1.0,666.0,7.8883343,7.6009026,6.50129
14,2000,3183.69,3906,201103.0,1.0,1183.69,8.065796,7.6009026,7.0763917
15,2000,3735.0,3906,201104.0,1.0,1735.0,8.225503,7.6009026,7.4587626
16,2000,2361.0,3906,201105.0,1.0,361.0,7.7668405,7.6009026,5.888878
17,2000,2172.41,3906,201106.0,1.0,172.41,7.6835923,7.6009026,5.149875
18,2200,3076.0,3906,201107.0,1.0,876.0,8.031385,7.696213,6.7753663
19,2200,4164.0,3906,201108.0,1.0,1964.0,8.334231,7.696213,7.5827384
20,2200,2200.0,3906,201109.0,1.0,0.0,7.696213,7.696213,
21,2200,2400.0,3906,201110.0,1.0,200.0,7.783224,7.696213,5.2983174
22,2200,3801.0,3906,201111.0,1.0,1601.0,8.243019,7.696213,7.3783836
23,2200,4373.0,3906,201112.0,1.0,2173.0,8.383204,7.696213,7.683864
24,2250,3712.0,3906,201201.0,1.0,1462.0,8.219326,7.7186856,7.2875605
25,2250,2450.0,3906,201202.0,1.0,200.0,7.8038435,7.7186856,5.2983174
26,1650,3650.76,4122,201001.0,0.0,2000.76,8.202691,7.4085307,7.6012826
27,1650,4775.52,4122,201002.0,0.0,3125.52,8.471258,7.4085307,8.047356
28,1650,4358.0,4122,201003.0,0.0,2708.0,8.379768,7.4085307,7.9039655
29,1650,4801.0,4122,201004.0,0.0,3151.0,8.47658,7.4085307,8.055475
30,1650,4045.12,4122,201005.0,0.0,2395.12,8.305266,7.4085307,7.7811885
31,1650,5497.76,4122,201006.0,0.0,3847.76,8.612096,7.4085307,8.255246
32,1800,3123.0,4122,201007.0,0.0,1323.0,8.04655,7.495542,7.1876574
33,1800,1890.0,4122,201008.0,0.0,90.0,7.544332,7.495542,4.4998097
34,1800,4725.05,4122,201009.0,0.0,2925.05,8.460633,7.495542,7.9810667
35,1800,5918.97,4122,201010.0,0.0,4118.9697,8.685918,7.495542,8.323359
36,1800,3106.0,4122,201011.0,0.0,1306.0,8.041091,7.495542,7.174724
37,1800,3209.0,4122,201012.0,1.0,1409.0,8.073714,7.495542,7.2506356
38,1900,3258.1,4122,201101.0,1.0,1358.1,8.0889,7.549609,7.213842
39,1900,4059.9,4122,201102.0,1.0,2159.9,8.308913,7.549609,7.6778173
40,1900,3947.0,4122,201103.0,1.0,2047.0,8.280711,7.549609,7.6241307
41,1900,4830.38,4122,201104.0,1.0,3010.38,8.48268,7.549609,8.009822
42,1900,5300.1,4122,201105.0,1.0,3400.1,8.575481,7.549609,8.13156
43,1900,5838.0,4122,201106.0,1.0,3938.0,8.672144,7.549609,8.278428
44,2150,4790.0,4122,201107.0,1.0,2640.0,8.474286,7.673223,7.8785343
45,2150,5819.0,4122,201108.0,1.0,3669.0,8.668883,7.673223,8.207674
46,2150,2448.0,4122,201109.0,1.0,298.0,7.8030267,7.673223,5.6970935
